"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	
703	1094	2263	183	2147	2117	2013	2124	2001	2269	2043	2489	2273	2849	1913	2146	2329	2087	2293	2547	2378	1969	2088	2477	1994	2216	2556	2129	2452	2046	2581	2092	2181	2166	2246	1153	2647	2566	213	2242	2664	589	2359	2133	502	
700	1000	2200	300	2100	2100	1900	2100	1900	2200	1900	2400	2200	2500	1800	2100	2300	2000	2200	2400	2300	1900	2000	2400	1900	2200	2500	2000	2400	2000	2600	2000	2100	2100	2200	1000	2400	2500	300	2200	2600	400	2300	2100	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
393	614	1436	11	1296	1321	1245	1348	1243	1369	1233	1459	1455	1812	1137	1287	1345	1316	1515	1581	1541	1123	1335	1541	1287	1370	1755	1318	1691	1394	1840	1218	1512	1339	1491	829	1811	1705	108	1409	1705	363	1168	1146	237	
18	8	60	139	26	56	98	50	48	44	17	44	33	36	36	37	46	36	23	60	61	43	39	48	41	40	33	52	46	45	28	88	28	53	48	5	44	26	79	39	57	10	90	57	71	
289	378	704	150	778	723	557	702	609	787	650	897	712	652	627	776	909	648	662	759	698	734	626	811	572	790	712	630	663	561	732	694	560	708	661	166	545	769	113	752	838	27	1042	897	92	
18	8	60	139	26	56	98	50	48	44	17	44	33	36	36	37	46	36	23	60	61	43	39	48	41	40	33	52	46	45	28	88	28	53	48	5	44	26	78	39	57	10	90	57	71	
393	614	1436	11	1295	1321	1245	1345	1243	1367	1231	1459	1398	1812	1137	1287	1345	1314	1512	1581	1541	1123	1335	1541	1286	1370	1755	1318	1691	1393	1840	1218	1512	1338	1490	829	1811	1705	108	1409	1704	363	1168	1146	237	
4	7	17	1	18	20	12	10	26	14	22	19	17	32	13	20	16	18	17	26	14	12	18	20	29	16	16	10	21	15	23	19	17	25	28	10	22	27	5	25	24	7	19	19	2	
407	615	1479	149	1303	1357	1331	1385	1265	1397	1226	1484	1414	1816	1160	1304	1375	1332	1518	1615	1588	1154	1356	1569	1298	1394	1772	1360	1716	1423	1845	1287	1523	1366	1510	824	1833	1704	181	1423	1737	366	1239	1184	306	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	11	2	9	14	15	8	19	18	9	14	18	15	6	13	14	4	16	6	11	14	12	11	4	8	14	11	16	10	16	12	15	9	12	2	20	11	3	11	13	3	9	7	2	
76	118	237	32	230	208	227	264	255	237	247	262	255	302	197	229	224	232	311	274	305	207	229	281	247	264	346	220	292	233	324	205	257	238	256	149	300	269	20	272	308	68	203	190	26	
32	61	137	10	112	93	87	99	78	129	130	137	133	158	99	128	121	126	112	130	128	103	128	136	131	107	108	111	103	92	133	86	108	112	129	37	177	136	12	93	125	31	112	107	36	
271	412	1011	98	866	960	926	930	818	928	774	976	923	1257	816	856	936	904	982	1111	1067	774	932	1049	854	936	1184	951	1200	987	1263	900	1043	924	1026	587	1263	1183	138	953	1187	240	874	827	236	
10	7	32	0	37	32	33	32	39	39	31	34	33	35	12	35	27	24	33	30	39	22	26	47	22	32	49	25	38	54	60	39	48	29	41	20	36	42	6	38	45	13	8	30	3	
3	3	9	1	11	13	14	16	11	15	9	17	9	10	9	10	18	9	11	16	11	9	7	11	9	14	10	17	14	17	9	17	14	9	6	3	8	14	0	11	6	6	10	13	0	
5	2	22	3	15	16	14	14	21	15	14	20	13	16	11	12	16	16	24	18	11	9	7	19	16	17	38	16	25	9	25	12	18	23	21	8	9	23	1	24	16	2	13	7	2	
5	8	20	3	23	21	15	22	24	16	12	24	30	23	10	21	19	17	29	30	16	16	15	15	15	16	23	9	28	21	15	16	20	22	19	18	20	26	1	21	37	3	10	3	1	
