"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	
1212	1212	1156	1150	1145	1129	1212	1137	1137	1135	1049	1076	1211	1276	1101	
1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
714	737	648	622	626	652	735	744	689	668	646	686	714	745	651	
40	28	42	26	41	29	38	14	44	18	30	30	35	119	23	
346	335	410	452	433	419	327	342	367	414	424	384	351	236	426	
40	28	42	26	41	29	38	14	44	18	30	30	35	119	23	
714	737	648	622	626	652	735	744	689	668	646	686	714	745	651	
2	4	8	14	5	9	7	4	6	5	7	7	4	10	9	
752	761	682	634	662	672	766	754	727	681	669	709	745	854	665	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	7	9	6	9	7	9	3	6	6	2	7	4	3	
149	156	156	110	118	126	152	163	169	139	137	138	138	152	154	
42	57	43	40	43	55	37	47	41	40	39	49	61	52	46	
539	520	451	447	469	460	548	499	491	466	463	484	509	612	432	
6	10	4	9	6	6	11	11	6	5	9	15	10	17	13	
3	8	5	8	10	8	5	5	7	11	6	7	5	3	7	
7	4	8	8	7	4	1	11	8	11	6	3	9	6	3	
4	4	8	3	3	4	5	9	2	3	3	11	6	8	7	
