"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	
289	240	755	270	292	1817	893	268	371	398	342	393	898	
300	250	750	250	300	1850	900	250	400	400	350	400	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	
106	66	372	112	103	1006	470	126	136	129	191	195	431	
80	100	119	65	98	192	70	64	125	153	51	123	80	
114	84	259	73	99	652	360	60	139	118	108	82	339	
80	100	119	65	98	192	70	64	125	153	51	123	80	
106	66	372	112	103	1006	470	126	136	129	191	195	431	
1	0	6	2	1	17	10	2	0	0	0	1	6	
185	166	485	175	200	1181	530	188	261	282	242	317	505	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	1	1	6	3	0	1	1	1	1	3	
18	18	27	10	21	128	59	14	7	13	15	18	44	
17	15	23	11	6	80	33	14	20	25	19	16	22	
139	129	420	146	162	927	414	157	228	239	199	271	413	
5	3	6	1	2	14	6	0	4	3	3	5	10	
2	1	3	3	2	6	2	0	0	1	2	3	4	
3	0	1	2	0	5	4	2	0	0	2	3	5	
1	0	3	1	6	15	9	1	1	0	1	0	4	
