"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	
1213	612	550	1310	463	612	480	1065	1369	1138	716	304	473	303	482	455	894	977	318	444	790	532	183	213	352	524	80	151	300	433	907	
1000	500	400	1100	400	500	400	900	1100	900	600	280	400	250	400	400	700	700	300	350	600	400	180	200	300	450	80	150	300	400	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
495	354	298	641	258	317	230	498	571	456	281	206	273	133	272	305	418	441	201	255	333	258	113	92	224	306	39	59	158	251	407	
46	30	35	97	28	32	31	60	135	147	135	11	60	22	43	42	115	81	24	83	84	101	15	28	40	54	5	15	26	33	88	
459	116	67	362	114	151	139	342	394	297	184	63	67	95	85	53	167	178	75	12	183	41	52	80	36	90	36	76	116	116	205	
46	30	35	97	28	32	31	60	135	147	135	11	60	22	43	42	115	81	24	83	84	101	15	28	40	54	5	15	26	33	88	
495	354	298	641	258	317	230	498	571	456	281	206	273	133	272	305	418	441	201	255	333	258	113	92	224	306	39	59	158	251	407	
9	3	1	8	1	0	0	9	11	10	3	2	3	1	2	2	4	3	0	0	5	1	0	0	0	1	0	0	2	0	8	
532	381	332	730	285	349	261	549	695	593	413	215	330	154	313	345	529	519	225	338	412	358	128	120	264	359	44	74	182	284	487	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	5	5	1	1	0	3	4	5	3	3	0	0	3	1	4	6	0	2	1	0	0	0	1	2	0	0	0	1	3	
65	45	38	109	46	51	48	61	100	75	51	31	18	35	28	38	51	43	15	22	42	25	5	2	37	43	5	3	10	45	54	
47	46	22	43	21	33	23	41	56	77	53	14	29	10	43	44	47	49	17	28	38	22	11	10	23	31	1	11	40	19	42	
409	280	255	558	210	259	183	433	515	412	295	161	275	105	233	259	425	410	192	282	323	306	109	108	197	280	38	59	129	215	378	
1	1	4	2	3	3	3	3	10	6	1	1	2	0	3	2	1	2	0	2	5	1	2	0	1	1	0	0	1	1	3	
1	1	3	6	2	1	2	5	5	6	2	1	4	3	2	1	1	8	0	2	1	2	1	0	3	1	0	1	1	2	4	
3	3	4	3	1	1	1	1	3	5	4	2	2	1	1	0	0	1	0	0	1	0	0	0	2	1	0	0	1	0	2	
5	2	1	4	1	0	1	2	2	7	4	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	1	
