"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	
388	1509	1201	2255	2031	1150	619	1417	1666	775	1127	383	1605	212	194	306	190	155	194	832	671	245	293	
400	1500	1250	2300	2000	1200	630	1490	1730	800	1180	380	1630	200	195	285	205	155	190	875	700	265	310	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
223	816	696	1353	1230	592	329	765	889	508	801	225	1012	142	136	177	123	103	123	455	374	162	222	
19	65	47	87	114	40	139	93	139	53	58	25	83	3	7	13	34	17	20	29	101	30	14	
158	619	507	860	656	568	162	632	702	239	321	130	535	55	52	95	48	35	47	391	225	73	74	
19	65	47	87	114	40	139	93	139	53	58	25	83	3	7	13	34	17	20	29	101	30	14	
223	816	696	1353	1230	592	329	765	889	508	801	225	1012	142	136	177	123	103	123	455	374	162	222	
0	11	4	8	10	10	3	16	6	3	13	5	12	1	0	1	4	3	3	3	2	1	6	
242	870	739	1432	1334	622	465	842	1022	558	846	245	1083	144	143	189	153	117	140	481	473	191	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	6	2	11	5	5	2	1	6	4	8	0	7	2	0	0	1	1	5	5	7	1	1	
54	204	176	362	364	201	86	195	263	137	229	35	237	30	21	49	18	8	35	123	36	8	42	
6	46	32	71	80	40	35	61	68	40	73	21	79	9	24	11	12	8	13	27	32	12	10	
177	602	509	955	860	363	332	567	659	371	519	184	738	102	94	127	120	95	84	321	389	169	169	
1	3	5	15	13	4	5	4	8	3	8	0	4	1	3	1	0	1	2	1	3	0	4	
4	6	8	8	6	3	1	5	11	1	5	2	5	0	0	1	2	4	1	0	4	1	4	
0	1	4	4	2	1	2	6	6	0	2	0	10	0	1	0	0	0	0	2	0	0	0	
0	2	3	6	4	5	2	3	1	2	2	3	3	0	0	0	0	0	0	2	2	0	0	
