"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	
526	2743	2291	1165	1640	1144	1749	962	1861	1751	1612	2059	1992	1810	1508	1771	1510	2283	1773	2152	2238	2024	2189	1687	2414	1815	965	1907	2023	2483	2135	2161	2087	1347	1135	1583	1254	1301	
500	2550	2000	1050	1500	1050	1600	900	1750	1550	1500	1900	1850	1700	1450	1600	1400	1850	1600	1900	2050	1850	2000	1650	2250	1650	900	1750	1850	2300	1950	2000	1950	1250	1150	1500	950	1050	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
388	2403	1794	796	1127	629	939	753	1488	1428	1280	1562	1650	1502	1391	1560	1295	1505	1446	1708	1969	1769	1922	1095	1920	1586	801	1127	1361	1484	1433	1494	1829	1067	751	1343	591	784	
38	36	100	20	60	33	113	34	183	112	25	37	43	40	9	34	19	337	33	121	47	44	41	54	40	53	25	49	43	65	61	58	50	29	33	27	354	245	
74	111	106	234	313	388	548	113	79	10	195	301	157	158	50	6	86	8	121	71	34	37	37	501	290	11	74	574	446	751	456	448	71	154	366	130	5	21	
38	36	100	20	60	33	113	34	183	112	25	37	43	40	9	34	19	337	33	121	47	44	41	54	40	53	25	49	43	65	61	58	50	29	33	27	354	245	
388	2403	1790	796	1127	629	939	753	1487	1428	1280	1562	1650	1502	1391	1560	1295	1505	1446	1708	1969	1769	1922	1095	1920	1586	801	1127	1361	1484	1372	1494	1829	1067	751	1343	591	784	
4	30	10	13	14	13	22	22	8	21	3	15	0	11	10	23	16	20	13	13	0	4	3	17	10	3	3	18	17	35	5	14	2	6	8	5	5	11	
422	2409	1880	803	1173	649	1030	765	1662	1519	1302	1584	1693	1531	1390	1571	1298	1822	1466	1816	2016	1809	1960	1132	1950	1636	823	1158	1387	1514	1428	1538	1877	1090	776	1365	940	1018	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	1	1	5	8	6	3	4	7	2	2	20	6	5	0	6	12	6	9	11	9	5	7	21	2	4	6	13	12	3	13	1	7	4	7	2	2	
49	159	76	81	117	66	106	53	49	56	12	51	99	28	69	2	125	108	133	77	52	21	25	163	102	22	27	158	198	100	30	215	11	37	117	51	46	10	
64	101	94	98	189	73	121	55	84	92	100	127	59	69	52	178	104	168	106	91	109	58	100	112	191	37	98	131	173	100	147	140	105	121	76	91	95	51	
300	2080	1692	596	822	478	759	626	1497	1324	1185	1380	1493	1385	1244	1367	1036	1464	1177	1591	1789	1641	1775	786	1566	1564	673	819	935	1257	1227	1115	1739	890	546	1119	782	906	
5	18	7	11	20	7	14	15	11	15	1	8	5	16	6	15	8	13	22	17	7	19	24	33	25	6	10	18	28	16	3	20	12	16	11	23	3	20	
2	19	3	5	10	9	13	8	3	10	0	2	7	10	10	4	5	17	3	11	3	14	8	10	6	1	3	7	14	9	2	8	1	7	8	16	3	19	
0	15	2	5	4	4	4	3	6	4	2	0	6	7	0	2	7	20	10	12	12	16	10	8	2	0	1	10	16	8	11	15	5	5	7	18	2	9	
0	12	5	6	6	4	7	2	8	11	0	14	4	10	4	3	7	20	9	8	33	31	13	13	37	4	7	9	10	12	5	12	3	7	7	40	7	1	
