"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	
799	825	184	135	155	147	195	878	519	550	159	186	880	219	458	196	436	899	813	126	218	375	533	172	1349	901	1343	1069	375	
730	750	160	120	140	130	170	790	480	500	140	160	800	190	410	170	380	820	750	110	200	350	480	140	1220	800	1180	1020	340	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
428	555	120	92	120	114	111	502	330	410	44	133	465	107	181	89	227	556	477	79	138	115	382	39	891	652	827	637	139	
191	97	32	22	10	16	45	115	98	51	87	26	247	70	198	66	82	90	117	25	34	166	47	95	112	67	181	114	133	
111	98	8	6	10	0	14	173	52	39	9	1	88	13	31	15	71	174	156	6	28	69	51	6	217	81	172	269	68	
191	97	32	22	10	16	45	115	98	51	87	26	247	70	198	66	82	90	117	25	34	166	47	95	112	67	181	114	133	
428	555	120	92	120	114	111	502	330	410	44	133	465	107	181	89	227	556	477	79	138	115	382	39	889	652	827	637	139	
8	9	1	1	1	0	0	6	3	5	1	0	0	0	0	1	3	9	2	1	1	0	3	1	6	9	3	8	0	
611	643	151	113	129	130	156	611	425	456	130	159	712	177	379	154	306	637	592	103	171	281	426	133	995	710	1005	743	272	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	5	2	0	0	0	0	6	8	3	1	2	3	2	0	0	3	5	7	0	1	0	2	0	4	4	8	4	1	
58	94	12	8	7	8	13	81	73	80	15	26	86	14	40	4	36	95	100	12	17	34	28	23	189	125	165	157	39	
32	34	5	4	5	15	9	54	30	43	10	13	53	8	32	19	22	44	39	7	10	31	19	6	96	39	81	62	18	
503	503	131	99	115	104	130	457	308	321	101	116	556	147	305	122	235	478	431	84	142	212	372	104	674	523	717	494	206	
4	4	0	0	0	1	2	3	0	4	3	0	4	1	1	1	6	4	3	0	1	1	2	0	16	10	8	11	3	
3	2	1	0	2	2	1	6	3	2	0	1	4	2	0	4	1	6	6	0	0	2	2	0	4	3	12	6	2	
1	1	0	0	0	0	0	4	3	3	0	1	5	0	1	1	2	2	4	0	0	0	0	0	9	2	11	6	3	
2	0	0	2	0	0	1	0	0	0	0	0	1	3	0	3	1	3	2	0	0	1	1	0	3	4	3	3	0	
