"УИК №2148"	"УИК №2149"	"УИК №2150"	"УИК №2151"	"УИК №2152"	"УИК №2153"	"УИК №2154"	"УИК №2155"	"УИК №2156"	"УИК №2157"	"УИК №2158"	"УИК №2159"	"УИК №2160"	"УИК №2161"	"УИК №2162"	"УИК №2163"	"УИК №2164"	"УИК №2165"	"УИК №2166"	"УИК №2167"	"УИК №2168"	"УИК №2169"	"УИК №2170"	"УИК №2171"	"УИК №3739"	
1217	1348	2139	1258	2219	2374	2036	1864	1667	1771	1803	1978	1617	2497	2424	2369	2504	2324	1950	2314	2023	2068	2011	541	211	
950	1050	1600	1050	1750	1850	1600	1500	1300	1450	1400	1550	1150	1700	1800	1850	2000	1850	1600	1850	1600	1500	1650	450	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
655	692	1203	654	1220	1286	1118	1000	914	991	1041	1066	978	1312	1288	1301	1283	1220	1003	1260	1071	972	1108	286	0	
34	45	37	38	47	63	32	59	32	33	41	41	28	57	63	58	49	65	31	77	52	57	53	2	207	
261	313	360	358	483	501	450	441	354	426	318	443	144	331	449	491	668	565	566	513	477	471	489	162	8	
34	45	37	38	47	63	32	59	32	33	41	41	28	57	63	58	49	65	31	77	52	57	53	2	207	
655	690	1198	654	1218	1285	1116	1000	912	988	1040	1062	977	1310	1287	1299	1281	1217	1002	1259	1068	971	1106	285	0	
11	7	13	4	15	35	23	18	17	15	15	20	13	50	23	25	23	22	13	14	18	16	21	3	3	
678	728	1222	688	1250	1313	1125	1041	927	1006	1066	1083	992	1317	1327	1332	1307	1260	1020	1322	1102	1012	1138	284	204	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	11	12	12	11	15	19	11	7	12	8	14	17	14	18	19	14	13	15	22	9	10	17	3	0	
80	92	173	113	181	195	141	128	132	139	158	149	143	193	194	195	197	136	158	209	155	147	170	40	29	
38	18	50	11	33	29	36	29	16	19	31	33	46	40	35	44	46	42	26	41	27	27	30	12	9	
471	487	781	440	807	877	736	662	586	636	663	707	610	809	824	852	866	856	665	780	632	622	733	178	150	
37	63	89	44	108	81	81	85	72	78	86	82	76	118	90	102	81	77	65	99	107	82	95	20	8	
6	3	6	6	11	13	13	8	10	4	10	4	5	9	15	15	8	5	5	11	4	4	10	3	2	
11	14	32	18	23	30	19	43	29	21	25	26	27	25	29	30	30	32	18	42	30	25	18	6	3	
29	40	79	44	76	73	80	75	75	97	85	68	68	109	122	75	65	99	68	118	138	95	65	22	3	
