"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	
2675	2674	1435	1320	1191	1407	2541	1470	1351	1568	2921	
2620	2710	1440	1320	1210	1400	2540	1415	1360	1420	2890	
0	0	0	0	0	0	0	0	0	0	0	
1552	1451	819	819	680	825	1534	636	693	795	1524	
31	31	19	16	16	17	27	16	18	26	52	
1037	1228	602	485	514	558	979	763	649	599	1314	
31	31	19	16	16	17	27	16	18	26	52	
1552	1449	819	819	680	825	1524	636	693	793	1524	
32	45	10	12	11	6	39	18	8	14	37	
1551	1435	828	823	685	836	1512	634	703	805	1539	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

14	11	4	6	6	10	16	6	9	7	7	
251	200	114	110	104	131	232	83	90	106	238	
99	121	54	54	39	36	85	42	54	47	117	
1116	1015	611	581	495	593	1099	472	521	618	1109	
20	31	13	24	16	26	28	12	9	11	26	
16	21	4	5	6	3	13	4	6	8	7	
19	18	8	15	9	13	13	5	3	3	17	
16	18	20	28	10	24	26	10	11	5	18	
