"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №1481"	"УИК №1482"	"УИК №1483"	"УИК №1484"	"УИК №1485"	"УИК №1486"	"УИК №1487"	"УИК №1488"	"УИК №1489"	"УИК №1490"	"УИК №1491"	"УИК №1492"	"УИК №1493"	"УИК №1494"	"УИК №1495"	"УИК №1496"	"УИК №1497"	"УИК №1498"	"УИК №1499"	"УИК №1500"	"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	
1979	2259	2749	2081	2686	1806	623	1287	442	334	176	224	579	468	429	232	466	449	442	259	591	1527	598	450	112	122	263	187	300	509	216	313	179	732	169	417	283	672	484	966	252	202	237	104	960	430	399	366	291	
1900	2250	2800	2100	2700	1800	650	1300	440	300	180	220	550	450	440	230	450	440	450	250	630	1550	550	450	110	120	270	180	300	500	200	320	180	750	170	400	280	700	480	950	250	200	240	90	950	420	390	350	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1121	1349	1536	1066	1511	1018	323	758	271	197	103	136	329	351	285	175	241	292	319	166	316	1003	380	277	77	59	144	108	255	320	133	215	124	415	124	241	166	398	248	494	131	105	146	51	687	294	253	243	223	
149	42	85	56	82	48	24	58	52	25	5	17	33	30	20	5	19	41	22	18	51	72	53	31	13	25	25	19	0	22	2	23	10	95	8	26	46	29	58	86	21	17	12	7	80	26	35	23	28	
630	859	1179	978	1107	734	303	484	117	78	72	67	188	69	135	50	190	107	109	66	263	475	117	142	20	36	101	53	45	158	65	82	46	240	38	133	68	273	174	370	98	78	82	32	183	100	102	84	49	
149	42	85	56	82	48	24	58	52	25	5	17	33	30	20	5	19	41	22	18	51	72	53	31	13	25	25	19	0	22	2	23	10	95	8	26	46	29	58	86	21	17	12	7	80	26	35	23	28	
1121	1348	1506	1066	1511	1018	323	758	271	197	103	136	329	351	285	175	241	292	319	166	316	1003	380	277	77	59	144	108	255	320	133	215	124	415	124	241	166	398	248	494	131	105	146	51	687	294	253	243	223	
13	25	25	14	23	12	2	17	8	4	2	2	1	8	3	1	5	9	3	0	1	9	4	4	1	0	1	6	0	2	0	3	1	8	0	9	0	10	7	9	3	1	1	0	4	2	5	3	7	
1257	1365	1566	1108	1570	1054	345	799	315	218	106	151	361	373	302	179	255	324	338	184	366	1066	429	304	89	84	168	121	255	340	135	235	133	502	132	258	212	417	299	571	149	121	157	58	763	318	283	263	244	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	11	6	7	13	2	4	10	1	1	0	0	4	1	1	0	1	2	1	0	2	3	3	3	0	0	2	3	0	3	0	4	1	3	1	0	3	3	5	1	1	0	1	0	4	3	0	3	1	
273	306	274	189	286	177	66	138	58	19	8	15	59	34	41	28	37	41	27	39	41	146	37	35	16	3	35	7	47	37	11	28	6	53	5	51	31	55	48	74	6	20	29	26	83	29	30	13	9	
86	100	133	112	117	74	35	76	26	13	5	14	15	27	7	9	33	23	35	8	43	111	39	31	4	19	6	17	26	33	10	32	18	54	12	28	20	24	20	51	15	10	8	0	39	33	6	22	23	
850	910	1098	764	1105	765	230	553	224	181	93	117	266	307	240	135	179	252	267	129	268	778	337	223	68	62	120	87	178	257	113	159	103	377	114	172	157	321	218	429	125	85	113	29	619	250	243	218	203	
13	13	16	13	17	11	2	10	4	2	0	2	1	4	4	5	0	2	3	2	3	8	4	2	1	0	2	1	1	5	0	1	0	2	0	2	0	2	2	3	1	2	1	3	7	2	0	2	1	
10	11	17	9	25	11	6	3	0	0	0	3	6	0	7	2	5	3	1	2	7	12	5	6	0	0	3	6	1	3	1	7	5	8	0	2	1	4	5	7	1	2	5	0	7	0	4	0	4	
6	7	16	10	4	11	0	7	2	1	0	0	0	0	2	0	0	1	2	2	1	4	2	3	0	0	0	0	1	2	0	3	0	3	0	2	0	6	0	5	0	0	0	0	3	0	0	1	3	
11	7	6	4	3	3	2	2	0	1	0	0	10	0	0	0	0	0	2	2	1	4	2	1	0	0	0	0	1	0	0	1	0	2	0	1	0	2	1	1	0	2	0	0	1	1	0	4	0	
