"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	
1560	1504	1705	2138	995	567	398	504	1134	731	615	1211	792	340	
1500	1400	1500	2000	900	500	400	400	1000	700	600	1000	750	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
872	852	1055	1093	551	175	180	225	534	336	300	620	379	166	
23	34	51	92	45	45	32	26	89	54	72	86	69	33	
605	514	394	815	304	280	188	149	377	310	228	294	302	101	
23	34	51	92	45	45	32	26	89	54	72	86	69	33	
872	852	1054	1093	551	175	180	225	534	336	300	620	378	166	
9	17	15	11	8	4	0	3	6	0	4	4	7	5	
886	869	1090	1174	588	216	212	248	617	390	368	702	440	194	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	5	7	10	3	0	0	3	3	3	2	2	2	2	
159	159	210	223	127	35	23	52	69	62	54	121	61	22	
60	50	59	78	37	11	15	16	28	24	30	61	22	9	
628	628	778	838	406	165	174	173	498	285	274	498	344	158	
10	12	16	12	8	1	0	2	8	3	2	11	6	1	
2	8	6	4	1	2	0	2	4	6	2	5	3	1	
13	3	7	4	4	0	0	0	3	1	2	3	2	1	
4	4	7	5	2	2	0	0	4	6	2	1	0	0	
