"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	
1385	1474	902	497	953	198	138	147	1061	81	724	349	1731	614	122	
1420	1530	950	550	980	190	160	150	1000	70	740	340	1820	570	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
761	744	428	236	434	71	53	56	536	28	309	155	820	320	66	
44	43	36	17	62	11	9	3	47	4	33	19	63	44	7	
615	743	486	297	484	108	98	91	417	38	398	166	937	206	57	
44	43	36	17	62	11	9	3	47	4	33	19	63	44	7	
760	744	428	236	434	71	53	56	536	28	309	155	819	320	66	
16	3	5	2	12	0	0	1	3	0	6	1	4	2	0	
788	784	459	251	484	82	62	58	580	32	336	173	878	362	73	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	9	8	6	3	0	1	0	4	0	6	0	6	5	1	
92	105	37	17	40	3	6	1	48	0	19	6	87	12	5	
59	64	56	29	45	4	6	11	49	3	42	8	90	26	6	
591	577	341	193	382	72	47	46	447	27	256	156	666	306	58	
12	13	5	2	5	2	0	0	12	0	6	1	11	3	1	
6	2	3	1	5	1	1	0	6	0	3	1	7	4	0	
6	2	2	2	3	0	0	0	3	0	3	1	4	5	1	
12	12	7	1	1	0	1	0	11	2	1	0	7	1	1	
