"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	
2115	1346	905	342	213	226	303	195	247	248	321	333	230	211	146	100	
2100	1300	900	430	230	280	360	200	250	300	350	380	260	250	210	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1322	803	558	176	124	162	222	137	175	170	188	212	152	135	105	63	
113	133	52	104	40	29	50	24	27	36	38	35	25	36	27	21	
665	364	290	150	66	89	88	39	48	94	124	133	83	79	78	16	
113	133	52	104	40	29	50	24	27	36	38	35	25	36	27	21	
1322	803	558	176	124	162	222	137	175	170	188	212	152	135	105	63	
15	25	10	1	6	3	12	2	6	0	1	0	1	0	6	0	
1420	911	600	279	158	188	260	159	196	206	225	247	176	171	126	84	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

18	4	5	2	0	2	2	0	1	0	1	4	0	0	0	0	
209	124	92	31	16	23	35	9	24	18	26	35	10	16	33	5	
78	68	54	36	12	18	30	17	18	18	13	26	34	12	9	12	
1083	690	435	208	120	144	187	132	144	167	179	179	127	143	83	66	
12	8	6	1	2	0	4	0	1	2	3	2	2	0	0	0	
11	10	2	1	2	0	1	1	6	1	0	1	1	0	0	0	
3	4	6	0	2	0	1	0	1	0	1	0	0	0	0	0	
6	3	0	0	4	1	0	0	1	0	2	0	2	0	1	1	
