"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	
2405	2579	336	411	394	215	486	304	699	424	477	467	288	454	522	374	733	791	387	508	252	148	434	313	759	258	177	201	290	
2400	2500	350	400	400	200	450	300	700	420	500	500	300	450	500	350	750	800	400	500	250	150	450	300	800	250	180	200	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1526	1666	245	333	356	163	362	234	532	337	407	341	209	342	370	261	577	566	300	371	174	106	309	227	558	218	138	164	217	
101	50	29	18	15	13	21	12	35	20	23	19	28	28	52	14	57	82	17	33	11	6	22	10	50	14	8	7	4	
773	784	76	49	29	24	67	54	133	63	70	140	63	80	78	75	116	152	83	96	65	38	119	63	192	18	34	29	79	
101	50	29	18	15	13	21	12	35	20	23	19	28	28	52	14	57	82	17	33	11	6	22	10	50	14	8	7	4	
1526	1666	245	333	356	163	362	234	532	337	407	341	209	342	370	261	577	566	300	371	174	106	309	227	558	218	138	164	217	
20	40	2	2	4	2	4	2	6	5	5	1	2	3	1	5	8	6	3	2	5	1	1	1	4	6	1	2	6	
1607	1676	272	349	367	174	379	244	561	352	425	359	235	367	421	270	626	642	314	402	180	111	330	236	604	226	145	169	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	9	1	1	1	0	3	0	5	3	1	6	2	1	0	1	2	5	1	2	1	0	1	1	3	0	0	2	0	
250	268	50	54	50	12	26	24	124	63	46	46	11	13	29	31	76	83	23	42	24	9	55	46	50	22	13	16	36	
87	96	15	14	32	9	16	10	39	22	22	10	5	12	19	19	26	48	15	18	8	4	11	7	23	13	10	10	12	
1214	1265	201	275	278	153	324	207	374	257	347	292	214	336	368	214	515	494	272	334	143	97	257	180	520	187	119	139	164	
20	12	2	4	0	0	5	3	8	5	2	4	0	1	3	3	1	7	2	3	1	0	2	1	4	0	0	1	2	
10	12	0	1	4	0	5	0	7	1	5	0	3	4	2	1	4	2	1	3	2	0	2	1	4	4	0	1	1	
8	6	2	0	2	0	0	0	2	1	1	1	0	0	0	1	2	3	0	0	0	0	1	0	0	0	3	0	0	
6	8	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	
