"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	
1605	1311	1083	425	560	161	346	139	154	400	389	208	125	529	89	154	632	188	83	90	192	279	73	892	105	432	302	337	
1600	1300	1100	430	550	160	350	150	150	420	400	230	100	520	100	140	630	190	90	80	200	290	80	900	100	440	320	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
913	718	604	245	319	88	210	87	72	226	252	119	74	266	55	80	359	98	40	55	92	141	43	467	44	246	171	179	
88	83	88	43	82	4	37	10	18	63	53	20	17	81	16	37	85	16	5	8	15	65	11	162	30	69	46	53	
599	499	408	142	149	68	103	53	60	131	95	91	9	173	29	23	186	76	45	17	93	84	26	271	26	125	103	118	
88	83	88	43	82	4	37	10	18	63	53	20	17	81	16	37	85	16	5	8	15	65	11	162	30	69	46	53	
913	718	604	245	319	88	210	87	72	226	252	119	74	266	55	80	359	98	40	55	92	141	43	467	44	246	171	179	
6	9	11	2	1	0	2	1	0	0	5	2	1	7	0	1	3	0	0	2	1	1	0	4	0	0	1	1	
995	792	681	286	400	92	245	96	90	289	300	137	90	340	71	116	441	114	45	61	106	205	54	625	74	315	216	231	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	9	5	4	0	0	1	0	1	4	2	1	0	5	1	3	6	0	0	0	0	2	0	5	1	1	1	1	
178	116	108	27	14	26	45	5	8	28	36	6	10	48	19	15	58	19	3	5	14	38	6	55	16	21	15	10	
72	81	73	27	35	10	29	12	10	43	23	20	8	52	11	13	59	9	7	8	14	24	7	71	8	45	29	16	
698	558	468	227	348	54	165	72	71	208	231	106	67	222	38	78	309	83	34	48	76	136	41	474	47	243	165	198	
21	13	8	1	1	0	5	1	0	3	1	2	1	2	2	4	3	2	1	0	0	3	0	10	0	0	3	1	
4	6	8	0	1	1	0	3	0	0	1	1	2	1	0	2	1	0	0	0	1	2	0	2	0	1	2	0	
3	2	4	0	0	0	0	1	0	0	1	0	2	10	0	0	3	1	0	0	0	0	0	4	1	1	1	3	
11	7	7	0	1	1	0	2	0	3	5	1	0	0	0	1	2	0	0	0	1	0	0	4	1	3	0	2	
