"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	
1571	1730	564	174	405	438	212	221	325	168	311	172	417	
1220	1320	440	130	320	340	160	170	260	130	240	130	330	
0	0	0	0	0	0	0	0	0	0	0	0	0	
699	905	234	55	151	153	72	96	114	63	85	54	117	
64	65	37	31	52	60	24	21	33	41	67	32	106	
457	350	169	44	117	127	64	53	113	26	88	44	107	
64	65	37	31	52	60	24	21	33	41	67	32	106	
699	905	234	55	151	153	72	96	114	63	85	54	117	
7	3	3	0	0	3	0	0	0	0	0	0	1	
756	967	268	86	203	210	96	117	147	104	152	86	222	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

0	12	1	0	0	0	0	2	0	0	3	0	3	
108	138	43	11	27	31	9	3	10	9	12	8	14	
69	90	18	8	21	10	6	10	17	3	4	1	8	
561	698	199	63	149	162	78	100	115	92	133	76	190	
5	12	2	1	2	4	1	0	1	0	0	0	1	
7	8	0	1	3	1	1	0	2	0	0	0	0	
4	4	3	1	1	1	1	1	1	0	0	1	5	
2	5	2	1	0	1	0	1	1	0	0	0	1	
