"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	
2251	2336	2029	1987	744	819	582	
2250	2300	1950	2000	700	800	550	
0	0	0	0	0	0	0	
1726	1835	1381	1349	625	664	482	
96	84	43	76	26	28	51	
428	381	526	575	49	108	17	
96	84	43	76	26	28	51	
1726	1835	1381	1349	625	664	482	
29	32	28	22	4	8	5	
1793	1887	1396	1403	647	684	528	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

10	12	11	4	0	0	4	
137	221	231	251	44	42	45	
128	160	175	142	29	53	23	
1479	1463	933	964	571	575	451	
13	7	15	15	3	3	1	
12	15	17	14	0	7	3	
7	5	8	6	0	2	0	
7	4	6	7	0	2	1	
