"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	
1445	1088	1030	1985	2116	2225	2252	966	1427	1981	1554	743	406	
1470	1070	1015	2050	2115	2170	2250	980	1435	1985	1525	780	410	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1237	914	837	1848	1641	2085	1864	876	1287	1633	1425	691	384	
145	46	66	43	225	27	275	43	97	139	45	33	7	
88	110	112	159	249	58	111	61	51	213	55	56	19	
145	46	66	43	225	27	275	43	97	139	45	33	7	
1237	914	837	1848	1641	2085	1864	876	1287	1633	1425	691	384	
6	0	12	26	21	27	0	4	0	28	0	0	6	
1376	960	891	1865	1845	2085	2139	915	1384	1744	1470	724	385	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

0	3	3	3	2	1	2	5	4	6	2	2	0	
111	185	68	162	186	177	132	102	105	163	117	97	73	
21	34	8	2	10	38	37	31	43	12	44	24	19	
1172	683	806	1629	1636	1814	1917	737	1152	1533	1211	559	273	
0	0	0	3	5	0	0	0	0	8	0	0	0	
72	38	5	65	5	34	36	31	56	21	84	29	14	
0	15	0	0	0	18	15	9	21	1	12	10	6	
0	2	1	1	1	3	0	0	3	0	0	3	0	
