"УИК №1953"	"УИК №1954"	"УИК №1955"	"УИК №1956"	"УИК №1957"	"УИК №1958"	"УИК №1959"	"УИК №1960"	"УИК №1961"	"УИК №1962"	"УИК №1963"	"УИК №1964"	"УИК №1965"	"УИК №1966"	"УИК №1967"	"УИК №1968"	"УИК №1969"	"УИК №1970"	"УИК №1971"	"УИК №1972"	
1763	1809	1647	1625	1570	1476	1598	1617	1619	1679	1785	1402	1523	1626	1466	1706	1587	1475	1722	1532	
1700	1750	1750	1700	1650	1550	1600	1650	1600	1750	1800	1450	1550	1700	1500	1750	1650	1550	1750	1650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1180	1244	1099	1089	856	866	877	1017	917	1180	1170	921	906	1049	915	1204	1092	979	1160	1047	
31	44	38	60	29	37	17	37	29	16	88	35	49	24	41	18	32	37	43	15	
489	462	613	551	765	647	706	596	654	554	542	494	595	627	544	528	526	534	547	588	
31	44	38	60	29	37	17	37	29	16	88	35	49	24	41	18	32	37	43	15	
1180	1244	1099	1089	856	866	877	1017	917	1180	1170	921	906	1049	915	1204	1092	979	1159	1047	
14	10	17	18	16	8	9	13	14	22	11	13	23	19	15	16	22	17	14	12	
1197	1278	1120	1131	869	895	885	1041	932	1174	1247	943	932	1054	941	1206	1102	999	1188	1050	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	12	3	15	6	6	5	9	6	12	14	13	8	4	6	12	16	12	10	3	
228	232	196	204	138	157	116	165	160	235	254	156	153	198	182	205	186	150	212	217	
133	117	76	99	98	82	128	84	99	91	111	89	92	101	108	115	91	70	77	88	
784	868	798	779	594	606	618	745	641	800	807	652	645	722	616	831	761	729	842	703	
15	22	18	14	14	23	8	9	9	10	21	12	15	12	9	11	20	15	20	15	
4	8	11	8	7	9	4	9	8	12	13	10	7	7	7	13	13	3	8	10	
12	9	10	4	7	5	2	12	3	9	17	7	8	5	9	7	6	12	9	6	
8	10	8	8	5	7	4	8	6	5	10	4	4	5	4	12	9	8	10	8	
