"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	
840	984	1457	1042	968	1422	674	829	262	253	364	133	304	272	173	74	455	253	204	222	234	180	
850	900	1300	1000	900	1300	700	850	260	260	390	130	300	290	170	70	480	250	210	240	250	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
465	736	829	579	588	886	415	489	196	136	183	90	249	138	113	48	283	160	170	150	163	132	
58	49	129	113	67	68	60	66	23	54	112	22	25	83	22	10	65	52	9	49	41	16	
327	115	342	308	245	346	225	295	41	70	95	18	26	69	35	12	132	38	31	41	46	52	
58	49	129	113	67	68	60	66	23	54	112	22	25	83	22	10	65	52	9	49	41	16	
465	736	829	576	588	886	415	489	196	136	183	90	249	138	113	48	283	160	170	150	163	132	
5	0	4	0	4	11	5	8	0	0	2	1	0	0	0	0	4	0	1	0	0	1	
518	785	954	689	651	943	470	547	219	190	293	111	274	221	135	58	344	212	178	199	204	147	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	5	4	3	3	7	0	7	5	3	1	3	1	0	0	0	3	1	0	1	3	1	
75	30	152	130	112	220	61	67	36	42	48	11	31	16	14	2	50	15	8	14	22	5	
43	33	63	34	39	68	70	48	17	13	26	13	20	12	12	9	35	9	13	9	20	12	
377	706	712	504	482	619	332	409	158	126	214	81	215	192	106	47	251	183	157	174	155	126	
6	4	8	8	3	11	0	7	0	1	0	1	3	0	2	0	2	1	0	1	1	0	
5	1	9	7	6	5	2	5	2	2	4	1	3	1	0	0	3	1	0	0	1	2	
5	2	3	2	5	5	3	3	0	1	0	0	1	0	0	0	0	2	0	0	2	1	
1	4	3	1	1	8	2	1	1	2	0	1	0	0	1	0	0	0	0	0	0	0	
