"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	
399	207	116	224	338	157	631	912	173	255	
380	200	110	215	340	135	640	950	160	255	
0	0	0	0	0	0	0	0	0	0	
197	85	66	117	183	64	286	453	81	110	
45	26	14	16	22	16	58	66	17	37	
138	89	30	82	135	55	296	431	62	108	
45	26	14	16	22	16	58	66	17	37	
197	85	66	117	183	64	286	453	81	110	
2	0	0	0	2	0	13	5	1	1	
240	111	80	133	203	80	331	514	97	146	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

2	0	2	3	1	0	4	2	1	0	
33	4	1	8	15	3	35	46	4	10	
13	7	5	18	14	2	34	38	2	4	
188	97	71	99	167	74	249	411	87	132	
0	0	1	1	1	1	3	8	1	0	
2	1	0	1	4	0	2	2	2	0	
0	2	0	1	1	0	1	4	0	0	
2	0	0	2	0	0	3	3	0	0	
