"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	
358	309	143	179	121	415	86	164	263	209	181	94	1758	1209	1252	1706	1586	1228	176	378	412	170	
299	250	131	153	100	335	69	133	207	174	142	74	1471	1012	1022	1394	1312	1032	151	370	334	139	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
231	191	120	119	65	262	41	102	180	123	101	65	907	561	680	1002	911	536	81	329	238	92	
15	40	0	8	5	31	4	8	10	12	15	3	69	53	86	60	75	62	2	0	16	7	
53	19	11	26	30	42	24	23	17	39	26	6	495	398	256	332	326	434	68	41	80	40	
15	40	0	8	5	31	4	8	10	12	15	3	69	53	86	60	75	62	2	0	16	7	
231	191	120	119	65	262	41	102	180	123	101	65	907	561	680	1002	911	536	81	329	238	92	
3	3	4	2	0	5	1	5	3	2	9	0	9	15	6	14	10	4	1	5	4	1	
243	228	116	125	70	288	44	105	187	133	107	68	967	599	760	1048	976	594	82	324	250	98	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	1	2	1	4	0	0	0	4	0	0	1	10	5	8	8	3	0	1	4	0	
32	41	11	14	13	38	5	19	24	29	7	12	200	148	165	243	197	118	17	59	33	8	
35	16	12	10	13	31	4	14	12	7	10	9	91	66	69	103	105	79	12	38	19	4	
173	169	92	98	42	211	32	67	150	89	90	46	651	365	506	660	627	376	52	214	191	86	
2	1	0	1	0	2	1	3	0	1	0	0	4	5	3	10	8	3	0	7	0	0	
0	0	0	0	1	1	1	2	0	3	0	1	8	3	6	12	20	7	1	3	3	0	
0	0	0	0	0	0	1	0	1	0	0	0	9	1	3	8	6	7	0	1	0	0	
0	0	0	0	0	1	0	0	0	0	0	0	3	1	3	4	5	1	0	1	0	0	
