"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №811"	"УИК №2515"	"УИК №2516"	"УИК №2730"	"УИК №2731"	"УИК №2732"	
629	612	649	641	625	637	607	626	632	478	342	100	117	645	637	622	637	186	
580	570	590	590	570	580	560	580	570	450	300	90	140	570	580	570	590	170	
0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	
409	295	386	377	348	320	283	342	340	302	220	48	75	351	266	385	363	84	
28	21	20	13	28	30	46	41	58	33	27	8	19	20	44	30	20	31	
143	254	184	200	194	230	231	197	172	115	42	34	46	199	270	155	207	55	
28	21	20	13	28	30	46	41	58	33	38	8	19	20	44	30	20	31	
409	295	386	377	348	320	283	342	340	302	220	48	75	351	266	385	363	84	
4	5	8	6	1	11	6	6	9	4	1	0	0	5	4	2	6	2	
433	311	398	384	375	339	323	377	389	331	257	56	94	366	306	413	377	113	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	2	1	3	1	5	1	2	5	1	0	0	5	3	4	1	0	
44	39	32	55	32	21	38	42	50	31	14	6	3	42	30	49	36	6	
52	24	41	46	67	43	35	42	53	43	21	5	6	53	47	38	50	15	
328	243	307	276	266	269	236	286	272	245	217	44	83	257	221	314	287	89	
1	0	7	3	3	1	4	5	3	2	2	0	0	3	0	3	1	1	
3	1	2	2	2	1	4	1	4	4	0	0	1	1	2	1	1	2	
0	0	2	1	0	3	0	0	2	1	2	1	0	3	2	3	0	0	
3	2	5	0	2	0	1	0	3	0	0	0	1	2	1	1	1	0	
