"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	
483	824	568	452	854	428	218	285	152	126	144	606	215	89	98	334	236	432	234	78	246	161	187	310	220	341	364	158	
512	857	586	461	892	443	225	301	158	125	153	613	214	86	104	333	252	459	254	76	252	163	203	314	205	349	391	197	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
339	574	364	340	606	304	170	229	122	108	132	405	162	43	61	250	183	335	182	58	169	90	136	246	161	250	285	119	
21	62	71	34	46	35	17	14	9	5	9	62	27	8	11	41	30	55	27	5	56	24	29	38	28	42	32	26	
152	221	151	87	240	104	38	58	27	12	12	146	25	35	32	42	39	69	45	13	27	49	38	30	16	57	74	52	
21	62	71	34	46	35	17	14	9	5	9	62	27	8	11	41	30	55	27	5	56	24	29	38	28	42	32	26	
339	574	364	340	605	304	170	229	122	108	132	405	162	43	61	250	183	335	182	58	169	90	136	246	161	250	285	119	
2	12	5	3	15	8	0	6	0	1	0	4	2	0	1	2	2	3	0	1	1	0	1	1	0	2	1	0	
358	624	430	371	636	331	187	237	131	112	141	463	187	51	71	289	211	387	209	62	224	114	164	283	189	290	316	145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	7	5	2	3	2	2	1	0	0	0	4	1	0	0	1	2	2	0	0	0	0	4	0	0	2	13	1	
52	64	61	62	105	52	20	24	19	4	3	78	13	1	10	23	33	46	30	1	15	12	18	44	13	24	36	6	
50	55	40	42	58	32	20	25	11	15	4	39	17	7	5	26	19	25	14	10	20	7	17	17	19	28	26	17	
246	481	313	243	448	227	141	179	101	91	130	328	148	43	55	237	150	300	161	50	178	90	120	212	154	229	231	120	
4	7	3	8	7	6	2	6	0	1	4	3	3	0	0	1	1	5	1	0	6	2	5	2	1	2	7	0	
4	4	4	11	9	6	2	0	0	0	0	4	4	0	1	0	4	6	1	0	1	1	0	4	1	3	2	1	
0	3	3	3	2	4	0	2	0	0	0	2	1	0	0	1	2	2	2	1	4	2	0	4	0	1	0	0	
1	3	1	0	4	2	0	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	
