"УИК №2474"	"УИК №2475"	"УИК №2476"	"УИК №2477"	"УИК №2478"	"УИК №2479"	"УИК №2480"	"УИК №2481"	"УИК №2482"	"УИК №2483"	"УИК №2484"	"УИК №2485"	"УИК №2486"	"УИК №2487"	"УИК №2488"	"УИК №2489"	"УИК №2490"	"УИК №2491"	"УИК №2492"	"УИК №2493"	"УИК №2494"	"УИК №2495"	"УИК №2496"	"УИК №2497"	"УИК №2498"	"УИК №2499"	"УИК №2500"	"УИК №2501"	"УИК №2502"	"УИК №2503"	"УИК №2504"	"УИК №2505"	"УИК №2506"	"УИК №2507"	"УИК №2508"	"УИК №2509"	"УИК №2510"	"УИК №2511"	"УИК №2512"	"УИК №2513"	"УИК №2514"	"УИК №2515"	"УИК №2516"	"УИК №2517"	"УИК №2518"	"УИК №2519"	"УИК №2520"	"УИК №2521"	"УИК №2522"	"УИК №2523"	"УИК №2524"	"УИК №2525"	"УИК №2526"	"УИК №2527"	"УИК №2528"	"УИК №2529"	"УИК №2530"	"УИК №2531"	"УИК №2532"	"УИК №2533"	"УИК №2534"	"УИК №2535"	"УИК №2536"	"УИК №2537"	"УИК №2538"	"УИК №2539"	"УИК №2540"	"УИК №3749"	"УИК №3750"	
2060	2249	1994	684	1057	1502	2213	1513	1595	2494	2260	1751	1685	2866	1531	461	1950	1918	1102	1597	2203	2311	2040	1495	1233	1780	1768	151	1873	623	2426	2360	2165	1115	2074	1059	1811	2465	1511	2420	1237	1291	1133	1472	2166	1635	1421	1118	2246	1758	896	1904	1505	2254	1587	1504	1693	1191	2176	1540	1389	1172	1862	2000	1612	1572	2076	164	282	
1800	2000	1800	700	900	1300	2000	1400	1400	2200	2000	1500	1500	2400	1400	500	1700	1700	900	1400	1900	1700	1800	1200	1100	1600	1600	239	1700	600	2200	2100	1900	1000	1900	900	1600	2200	1400	2100	1100	1100	1000	1400	2000	1500	1300	1000	2000	1500	800	1700	1300	2000	1400	1400	1500	1000	1900	1400	1200	1000	1700	1800	1400	1400	1800	500	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1154	1441	1150	420	585	859	1247	911	920	1345	1309	978	980	1530	923	301	1130	1020	588	913	1260	1331	1203	876	726	1028	983	109	1048	365	1286	1415	1227	686	1164	579	981	1349	836	1441	707	745	636	791	1151	924	752	651	1324	989	560	1097	931	1270	929	867	1070	740	1283	931	787	635	1101	1135	1000	957	1291	134	139	
30	26	48	7	21	28	54	48	37	49	24	25	24	53	18	10	33	9	20	49	53	49	51	16	21	19	38	7	26	16	15	38	33	25	51	34	43	49	27	32	25	24	25	3	62	49	24	22	43	31	13	31	22	36	38	44	14	22	46	42	17	26	44	47	29	42	50	28	143	
616	533	602	273	294	413	699	441	443	806	667	497	496	817	459	189	537	671	292	438	587	320	546	308	353	553	579	123	626	219	899	647	640	289	685	287	576	802	537	627	368	331	339	606	787	527	524	327	633	480	227	572	347	694	433	489	416	238	571	427	396	339	555	618	371	401	459	338	218	
30	26	48	7	21	28	54	48	37	49	24	25	24	53	18	10	33	9	20	49	53	49	51	16	21	19	38	7	26	16	15	38	33	25	51	34	43	49	27	32	25	24	25	3	62	49	24	22	43	31	13	31	22	36	38	44	14	22	46	42	16	26	44	47	29	42	50	28	143	
1154	1440	1147	420	585	859	1244	909	920	1345	1309	972	979	1530	923	301	1126	1018	587	911	1260	1330	1203	873	724	1016	983	109	1045	365	1285	1413	1226	685	1160	578	981	1344	836	1441	707	745	636	789	1150	924	752	647	1322	988	560	1093	931	1266	927	864	1068	738	1278	931	786	635	1101	1131	998	956	1200	134	139	
24	28	7	8	8	14	24	12	16	14	13	13	10	45	7	2	28	26	6	15	12	59	11	10	9	28	11	3	37	2	20	33	20	13	12	6	16	50	9	30	18	7	9	12	27	8	16	8	21	10	10	20	36	25	21	12	20	19	14	25	16	8	25	42	33	17	42	0	3	
1160	1438	1188	419	598	873	1274	945	941	1380	1320	984	993	1538	934	309	1131	1001	601	945	1301	1320	1243	879	736	1007	1010	113	1034	379	1280	1418	1239	697	1199	606	1008	1343	854	1443	714	762	652	780	1185	965	760	661	1344	1009	563	1104	917	1277	944	896	1062	741	1310	948	786	653	1120	1136	994	981	1208	162	279	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

