"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	
653	1244	1000	887	197	601	250	462	152	810	990	670	241	1689	270	120	452	
660	1300	1030	900	200	610	250	480	300	810	1000	670	340	1570	300	130	450	
0	0	0	0	0	0	0	4	0	0	0	0	0	0	34	19	0	
411	652	514	454	103	350	109	251	59	537	422	340	237	968	153	72	205	
25	34	34	28	8	15	18	29	85	106	18	42	4	102	13	15	80	
224	614	482	418	89	245	123	196	156	167	560	288	99	500	100	24	165	
25	34	34	28	8	15	18	33	85	106	18	42	4	102	47	34	80	
411	652	514	454	103	350	109	251	59	537	422	340	237	968	153	72	205	
1	4	6	7	1	2	0	2	1	9	4	4	0	9	1	0	3	
435	682	542	475	110	363	127	282	143	634	436	378	241	1061	199	106	282	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	5	2	2	1	3	0	1	4	0	1	1	0	12	0	3	1	
64	107	91	71	4	35	7	20	37	97	25	26	29	107	5	4	33	
40	66	66	44	5	29	16	42	20	57	30	23	53	113	19	8	34	
314	482	365	351	100	289	100	211	79	468	371	326	152	804	173	88	201	
3	6	10	2	0	1	2	2	2	4	4	0	5	5	1	1	4	
2	9	5	3	0	5	1	2	0	6	3	1	0	6	0	2	4	
4	5	2	1	0	0	1	1	1	1	2	1	2	9	1	0	2	
8	2	1	1	0	1	0	3	0	1	0	0	0	5	0	0	3	
