"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	
327	2218	929	551	188	314	570	269	325	593	157	397	183	342	329	170	244	2481	1986	2375	409	709	647	
330	2250	900	550	190	310	570	280	340	580	160	380	170	330	310	160	230	2500	2000	2450	390	700	650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	1430	567	261	117	228	415	187	118	321	84	269	112	159	206	91	136	1532	1189	1564	242	433	408	
145	149	123	124	26	14	100	47	69	77	17	58	13	118	61	24	46	63	46	35	7	32	16	
104	671	210	165	47	68	55	46	153	182	59	53	45	53	43	45	48	905	765	851	141	235	226	
145	149	123	124	26	14	100	47	69	77	17	58	13	118	61	24	46	63	46	35	7	32	16	
81	1430	567	261	117	228	415	187	118	321	84	269	112	159	206	91	136	1532	1189	1564	242	433	408	
1	17	13	4	1	3	3	0	2	9	0	3	1	4	2	1	1	17	10	18	4	8	4	
225	1562	677	381	142	239	512	234	185	389	101	324	124	273	265	114	181	1578	1225	1581	245	457	420	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	11	9	3	0	2	0	3	2	2	1	5	0	1	1	0	0	6	6	15	2	2	5	
25	157	52	30	10	18	18	16	6	43	13	21	10	58	29	7	16	136	112	148	23	54	52	
15	127	61	17	10	13	30	20	17	32	4	21	28	20	10	7	13	117	82	130	14	21	26	
175	1222	544	321	119	201	458	193	158	302	79	273	85	190	219	95	152	1285	986	1238	199	366	326	
6	17	4	3	2	1	2	2	0	3	3	3	0	2	1	1	0	15	14	19	4	6	4	
1	11	3	4	1	4	0	0	0	1	0	0	1	2	0	3	0	5	7	11	2	3	1	
0	4	2	0	0	0	2	0	0	3	1	1	0	0	4	1	0	8	9	12	0	3	4	
0	13	2	3	0	0	2	0	2	3	0	0	0	0	1	0	0	6	9	8	1	2	2	
