"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	
1222	2217	1260	1165	1318	1216	752	628	1205	1380	1359	210	163	245	180	240	571	531	271	174	188	240	253	332	253	222	423	637	147	268	543	144	169	339	148	343	356	
1170	2160	1220	1120	1270	1170	680	630	1180	1340	1320	207	190	250	200	220	570	540	320	180	230	280	310	350	250	240	470	670	150	340	560	160	220	370	170	360	370	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
569	1101	671	669	775	694	360	303	636	720	826	124	87	112	100	146	318	301	141	96	128	159	148	187	128	109	187	373	86	123	298	75	93	170	83	196	181	
44	52	54	36	59	55	70	15	24	71	59	18	28	37	11	29	41	33	64	30	14	26	35	30	21	18	81	36	16	54	25	17	34	70	32	42	47	
557	1007	495	415	436	421	250	312	520	549	435	65	75	101	89	45	211	206	115	54	88	95	127	133	101	113	202	261	48	163	237	68	93	130	55	122	142	
44	52	54	36	59	55	70	15	24	71	59	18	28	37	11	29	41	33	64	30	14	26	35	30	21	18	81	36	16	54	25	17	34	70	32	42	47	
569	1101	671	669	775	694	359	303	636	720	826	124	87	112	100	146	318	301	141	96	128	159	148	187	128	109	187	373	86	123	298	75	93	170	83	196	181	
13	17	3	9	8	10	5	0	6	11	10	28	2	0	0	1	4	2	1	2	0	2	2	0	1	1	4	4	0	1	2	0	1	1	0	3	0	
600	1136	722	696	826	739	424	318	654	780	875	114	113	149	111	174	355	332	204	124	142	183	181	217	148	126	264	405	102	176	321	92	126	239	115	235	228	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	6	4	5	2	5	3	4	2	1	4	1	0	2	0	2	0	2	0	0	1	2	0	1	2	0	0	3	1	2	0	0	0	1	2	0	2	
161	246	173	159	174	161	89	87	154	167	188	12	31	33	14	19	74	58	32	20	7	18	24	25	20	14	25	44	11	21	26	9	15	40	33	26	21	
61	89	56	58	59	57	44	44	79	59	49	15	11	10	9	14	31	27	29	14	8	18	12	5	10	7	22	29	7	15	31	10	17	21	5	34	33	
365	762	477	454	563	494	275	176	405	532	617	82	69	100	87	136	242	241	136	86	122	141	144	183	114	101	210	318	82	136	256	69	93	168	71	166	169	
4	9	7	12	14	7	2	2	2	5	5	2	0	2	0	0	2	2	1	1	3	3	1	2	0	1	2	1	1	0	2	1	0	7	2	4	1	
3	9	4	2	6	4	4	1	5	9	2	1	0	0	0	3	3	0	2	2	0	0	0	1	2	1	3	5	0	0	2	1	0	1	2	4	2	
2	5	1	2	4	6	4	1	5	4	3	1	2	2	1	0	2	2	3	0	0	0	0	0	0	0	2	0	0	1	3	0	1	0	0	0	0	
0	10	0	4	4	5	3	3	2	3	7	0	0	0	0	0	1	0	1	1	1	1	0	0	0	2	0	5	0	1	1	2	0	1	0	1	0	
