"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	
1691	1623	997	198	393	148	284	72	268	675	625	318	322	927	522	192	326	232	
1800	1700	1000	190	390	150	280	70	270	700	650	350	350	1000	550	200	300	230	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1016	991	604	150	307	116	214	50	216	484	418	246	258	625	378	166	218	157	
48	55	42	7	19	7	16	7	6	28	35	9	10	39	30	4	11	8	
736	654	354	33	64	27	50	13	48	188	197	95	82	336	142	30	71	65	
48	55	42	7	19	7	16	7	6	28	35	9	10	39	30	4	11	8	
1016	991	603	150	307	116	214	50	216	484	418	246	258	625	378	166	218	157	
8	15	5	0	4	1	1	2	4	11	12	3	3	18	2	2	1	3	
1056	1031	640	157	322	122	229	55	218	501	441	252	265	646	406	168	228	162	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	2	9	1	0	1	2	0	2	2	0	2	3	7	2	0	1	0	
226	202	115	16	33	2	10	7	30	36	37	14	23	46	86	18	16	29	
94	91	76	6	34	8	19	7	32	82	38	23	29	69	29	18	31	9	
714	713	426	131	249	108	196	41	153	377	364	211	204	512	277	129	176	120	
5	10	5	0	2	1	1	0	0	2	1	1	2	7	1	0	4	1	
6	5	2	1	3	2	0	0	1	0	1	0	3	1	7	2	0	3	
3	1	4	1	1	0	1	0	0	2	0	1	1	3	2	1	0	0	
1	7	3	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	
