"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	
329	157	272	245	237	276	120	370	641	353	260	657	465	241	131	156	268	495	115	801	565	195	334	320	91	146	476	331	200	148	228	128	185	108	661	1408	
300	150	260	230	220	276	120	370	610	330	260	657	440	230	131	156	260	495	115	801	565	195	320	310	90	146	430	331	200	148	210	120	180	100	661	1408	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
232	124	194	179	181	225	84	241	491	252	226	483	317	133	115	128	194	434	95	672	479	137	262	230	75	103	346	272	167	131	178	94	104	86	552	1133	
58	12	62	51	31	42	25	108	98	76	32	96	99	88	9	28	56	47	16	54	58	55	49	63	11	31	83	40	24	15	28	25	62	8	64	217	
10	14	4	0	8	9	11	21	21	2	2	78	24	9	7	0	10	14	4	75	28	3	9	17	4	12	1	19	9	2	4	1	14	6	45	58	
58	12	62	51	31	42	25	108	98	76	32	96	99	88	9	28	56	47	16	54	58	55	49	63	11	31	83	40	24	15	28	25	62	8	64	217	
232	124	194	179	181	225	84	241	491	252	226	483	317	133	115	128	194	434	95	672	478	137	262	230	75	103	346	272	167	131	178	94	104	86	552	1133	
0	1	0	0	1	3	0	0	31	0	0	9	3	1	1	0	1	0	0	5	1	0	0	1	0	0	8	0	0	0	4	0	0	0	0	0	
290	135	256	230	211	264	109	349	558	328	258	570	413	220	123	156	249	481	111	721	535	192	311	292	86	134	421	312	191	146	202	119	166	94	616	1350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	0	0	0	1	0	1	2	0	3	2	0	0	0	1	0	0	4	1	0	1	1	0	0	4	0	0	0	0	0	1	0	0	2	
34	10	7	4	34	8	3	15	15	19	21	59	31	8	5	6	20	2	7	39	15	2	9	9	7	4	27	9	6	8	6	1	9	14	8	23	
5	3	8	4	13	2	4	0	11	10	8	16	18	5	2	3	2	12	0	23	4	2	5	7	5	2	14	5	4	3	9	2	9	0	6	50	
247	120	237	221	161	252	100	334	525	293	227	485	361	206	115	147	224	467	102	634	512	188	296	268	74	128	372	293	181	134	187	116	147	79	602	1275	
1	0	2	0	2	0	1	0	4	1	1	1	0	1	0	0	0	0	0	6	0	0	0	6	0	0	2	2	0	0	0	0	0	0	0	0	
3	1	2	1	1	0	0	0	1	2	0	5	1	0	1	0	0	0	2	10	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	
0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	
