"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	"УИК №1243"	"УИК №1244"	"УИК №1245"	
71	162	789	164	305	540	284	297	391	638	904	1395	1411	516	729	192	498	262	542	135	855	202	267	1248	737	59	603	104	96	776	164	
68	160	795	168	304	541	299	298	387	647	907	1400	1400	511	738	185	517	264	555	130	863	179	270	1200	771	60	615	110	110	787	161	
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	96	383	121	130	283	137	148	186	325	494	656	727	221	392	105	241	135	293	64	450	95	159	550	424	31	311	84	70	286	91	
1	8	27	5	16	18	15	10	20	24	49	77	40	22	26	13	18	14	17	3	26	7	11	62	40	11	18	2	2	62	26	
19	56	385	42	158	240	146	140	181	298	364	667	633	268	320	67	258	115	245	63	387	77	100	588	307	18	286	24	38	439	44	
1	8	27	5	16	18	16	10	20	24	49	77	40	22	26	13	18	14	17	3	26	7	11	62	40	11	18	2	2	62	26	
48	96	383	121	130	283	137	148	186	325	494	656	727	221	392	105	241	135	293	64	450	95	159	550	424	31	311	84	70	286	91	
0	1	3	0	1	2	0	2	0	1	7	4	5	2	1	2	2	0	1	0	4	1	0	9	6	0	0	0	0	2	0	
49	103	407	126	145	299	153	156	206	348	536	729	762	241	417	116	257	149	309	67	472	101	170	603	458	42	329	86	72	346	117	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	4	1	0	1	1	0	0	3	1	4	2	0	0	0	0	0	0	1	2	1	1	2	1	0	1	0	1	1	2	
10	6	66	6	11	23	33	50	54	43	83	143	143	33	39	5	21	8	33	21	88	10	23	83	51	13	56	6	8	68	17	
1	1	16	4	9	11	5	1	1	20	19	29	20	13	17	10	3	14	6	2	9	8	3	50	9	0	4	4	2	2	1	
37	94	314	112	122	261	109	103	147	277	414	539	590	194	357	100	230	124	264	42	360	80	136	464	391	28	261	67	61	266	94	
1	0	5	0	1	2	4	0	1	3	9	7	1	0	0	1	1	2	3	1	5	0	6	2	2	1	5	5	0	6	3	
0	0	2	2	2	0	1	0	1	0	3	2	0	1	2	0	1	1	2	0	4	1	0	0	3	0	1	2	0	0	0	
0	0	0	1	0	1	0	0	1	0	3	4	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	
0	0	0	0	0	0	0	2	1	2	4	1	5	0	1	0	1	0	1	0	3	0	0	1	1	0	1	1	0	3	0	
