"УИК №3801"	"УИК №3802"	"УИК №3803"	"УИК №3804"	"УИК №3805"	"УИК №3806"	"УИК №3807"	"УИК №3808"	"УИК №3809"	"УИК №3810"	"УИК №3811"	"УИК №3812"	"УИК №3813"	"УИК №3814"	"УИК №3815"	"УИК №3816"	"УИК №3817"	"УИК №3818"	"УИК №3819"	"УИК №3820"	"УИК №3821"	"УИК №3822"	"УИК №3823"	"УИК №3824"	"УИК №3827"	"УИК №3828"	"УИК №3829"	"УИК №3830"	
329	762	432	775	802	166	1026	196	190	391	375	522	454	367	812	233	469	304	691	1205	1121	563	628	413	48	159	959	184	
340	810	480	890	960	160	1120	190	210	400	430	530	480	470	910	240	500	370	710	1252	1171	630	670	400	60	170	1004	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
160	497	235	414	441	101	492	102	125	240	232	269	261	242	465	119	338	107	316	722	585	357	326	295	13	91	511	123	
61	58	50	88	92	28	119	30	31	20	72	67	56	64	80	17	57	98	119	49	72	49	158	61	31	38	52	17	
119	255	195	388	427	31	509	58	54	140	126	194	163	164	365	104	105	165	275	481	514	224	186	44	16	41	441	60	
61	58	50	88	92	28	119	30	31	20	72	67	56	64	80	17	57	98	119	49	72	49	158	61	31	38	52	17	
160	496	235	414	441	101	492	102	125	240	232	269	261	242	465	119	338	107	316	722	585	357	326	295	13	91	511	123	
0	7	3	7	9	0	8	1	1	2	4	4	2	1	7	0	3	4	5	2	12	1	4	1	0	1	3	0	
221	547	282	495	524	129	603	131	155	258	300	332	315	305	538	136	392	201	430	769	645	405	480	355	44	128	560	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	7	1	3	0	0	5	0	2	1	0	3	2	0	4	0	7	0	2	6	8	2	1	1	0	1	2	0	
25	38	69	89	135	20	67	14	28	32	25	55	39	22	95	20	48	33	46	143	104	77	39	16	9	43	93	21	
15	34	6	39	30	0	42	11	13	26	25	34	17	5	39	9	25	13	22	63	76	12	44	22	1	0	65	10	
174	462	202	359	346	109	479	104	89	190	238	235	256	275	388	106	308	154	352	543	433	303	387	301	32	80	389	106	
1	2	3	3	4	0	1	0	21	5	9	3	0	0	3	1	1	0	3	9	5	7	4	6	1	3	3	1	
3	3	1	2	4	0	6	2	0	1	2	1	0	3	7	0	2	1	1	4	9	1	4	3	1	1	5	2	
0	1	0	0	1	0	2	0	1	3	1	0	0	0	2	0	1	0	1	0	8	1	0	3	0	0	3	0	
0	0	0	0	4	0	1	0	1	0	0	1	1	0	0	0	0	0	3	1	2	2	1	3	0	0	0	0	
