"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	
362	240	323	289	248	331	519	248	192	244	418	611	420	526	456	180	994	1640	1826	1855	
450	262	359	301	314	366	589	310	222	245	482	715	465	636	469	200	1055	1795	1975	2030	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
261	200	254	232	189	239	373	161	135	188	319	420	331	379	343	157	921	1351	1314	1314	
98	36	57	51	54	83	106	76	51	53	95	168	73	138	96	15	56	271	401	495	
91	26	48	18	71	44	110	73	36	4	68	127	61	119	30	28	78	173	260	221	
98	36	57	51	54	83	106	76	51	53	95	168	73	138	96	15	56	271	401	495	
261	200	254	232	189	239	373	161	135	188	319	420	331	379	343	157	921	1351	1314	1310	
1	0	2	0	1	0	5	0	3	1	0	1	0	0	13	0	10	6	10	5	
358	236	309	283	242	322	474	237	183	240	414	587	404	517	426	172	967	1616	1705	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	1	1	1	0	0	0	2	0	1	0	0	4	8	7	5	
3	6	12	9	10	17	41	6	9	11	14	24	15	23	25	20	17	123	171	116	
3	6	11	12	9	23	27	1	4	6	2	13	10	12	19	2	15	89	129	71	
350	224	285	258	221	277	401	229	169	222	398	544	373	475	382	149	920	1363	1368	1588	
2	0	1	1	1	3	3	0	0	1	0	3	1	2	0	0	3	10	4	3	
0	0	0	1	1	1	0	0	1	0	0	1	3	2	0	1	5	18	16	12	
0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	4	7	1	
0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	1	3	4	
