"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	"УИК №2118"	"УИК №2119"	"УИК №2120"	"УИК №2121"	"УИК №2122"	"УИК №2123"	"УИК №2124"	
1577	1380	1335	1963	1637	987	533	1895	1062	448	686	251	387	338	953	389	818	975	719	890	240	
1621	1388	1255	1992	1670	1020	521	1902	1070	458	701	260	395	343	962	394	850	1000	737	912	238	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1206	730	886	1157	1175	726	371	859	564	382	516	193	191	189	921	270	301	385	401	451	93	
12	55	68	38	41	131	100	219	332	42	147	22	80	79	20	41	154	338	126	145	65	
403	603	301	797	454	163	50	824	174	34	38	45	124	75	21	83	395	277	210	316	80	
12	55	68	38	41	131	100	219	332	42	147	22	80	79	20	41	154	338	126	145	65	
1205	730	886	1157	1175	726	371	859	564	382	515	193	191	189	921	270	301	385	401	451	93	
11	9	10	19	7	8	3	6	4	0	2	0	3	0	5	2	0	3	14	4	3	
1206	776	944	1176	1209	849	468	1072	892	424	660	215	268	268	936	309	455	720	513	592	155	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	6	6	11	10	3	4	6	6	1	3	2	1	4	3	1	2	4	2	2	2	
181	147	169	176	160	58	16	139	58	22	36	23	24	60	63	19	23	74	44	68	18	
81	66	71	81	73	42	37	144	54	30	47	27	27	28	66	18	35	42	35	36	14	
916	545	671	861	935	738	406	759	759	364	563	149	211	166	795	266	387	588	420	476	116	
6	4	8	21	7	0	3	7	2	3	3	6	2	1	4	2	4	2	9	2	2	
7	5	6	14	11	6	1	12	11	3	1	2	1	7	3	2	1	4	3	4	2	
10	2	8	8	10	1	0	3	2	0	6	3	2	2	0	0	3	4	0	3	1	
1	1	5	4	3	1	1	2	0	1	1	3	0	0	2	1	0	2	0	1	0	
