"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1936"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1942"	"УИК №1943"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №1947"	"УИК №1948"	"УИК №1949"	"УИК №1950"	"УИК №1951"	"УИК №1952"	"УИК №1953"	"УИК №1954"	"УИК №1955"	"УИК №1956"	"УИК №1957"	"УИК №1958"	"УИК №1959"	"УИК №1960"	
2179	2185	1993	1640	1499	2023	2006	2366	2277	2154	1948	1388	2180	1985	1932	2035	2431	2291	2359	2182	2083	2187	2385	1129	1859	1832	1394	1833	1674	2792	2400	1613	1310	1867	1987	2379	2036	2268	1699	1656	1256	2614	2012	1700	1370	1882	1405	2106	1310	1695	1975	2297	2651	1526	1898	1273	111	429	220	163	
2150	2200	1800	1249	1500	2000	2000	2300	2250	1950	1950	1150	2100	1900	1900	2000	2150	2100	2200	2000	2050	2150	2350	1150	1850	1850	1300	1750	1650	2550	2300	1400	1200	1900	1950	2000	2000	2250	1700	1550	1150	2200	1800	1250	1175	1350	1350	2100	1350	1350	1950	2300	2500	1400	1800	1200	111	430	220	165	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1364	1417	1217	1112	826	1307	1286	1539	1525	1476	1260	985	1341	1263	1325	1342	1674	1565	1594	1373	1321	1397	1437	673	1150	1217	966	1182	1016	2060	1453	995	824	1119	1161	1639	1399	1452	1185	1084	779	1838	1341	1222	1035	1310	886	1290	675	1104	1198	1492	1863	912	1179	840	111	169	220	163	
53	25	20	7	12	29	28	64	46	39	34	21	15	69	20	52	44	45	62	58	46	43	56	22	28	42	15	18	13	13	58	34	32	41	42	41	13	48	18	54	33	15	65	28	17	40	27	44	23	34	24	21	10	12	15	23	0	260	0	0	
733	757	563	130	662	664	686	697	679	435	656	144	744	568	554	606	432	490	544	569	683	710	857	455	672	591	319	550	621	477	789	371	344	740	747	320	588	750	497	412	338	347	394	0	123	0	437	766	652	212	728	787	627	476	606	337	0	1	0	2	
53	25	20	7	12	29	28	64	46	39	34	21	14	69	20	52	44	45	62	58	46	43	56	22	28	42	15	18	13	13	58	34	32	41	42	41	13	48	18	54	33	15	65	28	17	40	27	44	23	34	24	21	10	12	15	23	0	260	0	0	
1364	1416	1215	1112	826	1307	1286	1539	1525	1476	1260	985	1341	1262	1325	1342	1674	1565	1594	1371	1321	1397	1437	673	1145	1217	966	1182	1016	2060	1453	995	824	1115	1161	1639	1397	1451	1185	1084	779	1836	1341	1222	1035	1309	886	1290	675	1103	1198	1492	1845	912	1179	840	111	169	220	163	
24	19	18	17	17	15	14	38	31	21	19	5	20	14	19	14	25	27	23	12	15	20	18	20	10	17	14	21	13	22	20	17	14	24	14	20	11	20	18	17	13	26	12	21	13	16	10	22	10	14	22	19	15	11	16	12	2	4	3	0	
1393	1422	1217	1102	821	1321	1300	1565	1540	1494	1275	1001	1335	1317	1326	1380	1693	1583	1633	1417	1352	1420	1475	675	1163	1242	967	1179	1016	2051	1491	1012	842	1132	1189	1660	1399	1479	1185	1121	799	1825	1394	1229	1039	1333	903	1312	688	1123	1200	1494	1840	913	1178	851	109	425	217	163	
0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	4	5	4	2	7	9	10	8	8	5	0	9	12	18	5	7	5	8	8	8	13	12	7	6	10	9	9	6	17	10	5	2	9	2	11	4	7	5	10	3	6	5	8	8	15	4	12	4	5	13	11	7	1	4	4	1	1	0	0	
152	169	176	154	114	186	189	179	203	232	176	120	148	190	180	198	223	224	223	187	163	204	167	94	122	207	142	148	137	320	229	115	112	170	157	215	242	231	186	166	117	339	187	177	119	234	125	204	94	156	172	218	306	146	156	129	1	22	2	1	
86	93	86	71	62	76	80	99	78	75	93	60	97	81	76	82	77	82	97	80	85	83	81	49	81	72	60	91	76	88	84	71	43	61	71	97	56	96	54	41	42	83	63	65	35	65	43	81	37	67	79	73	100	60	91	50	5	12	1	0	
1094	1105	894	831	599	998	960	1233	1171	1110	956	770	1034	960	984	1043	1302	1211	1215	1087	1036	1061	1140	494	901	903	702	870	771	1514	1089	781	645	824	901	1245	1030	1080	872	813	597	1304	1058	904	833	941	686	972	523	855	902	1127	1366	677	888	608	100	386	213	160	
26	22	26	20	17	25	23	15	28	25	18	26	25	26	26	20	27	25	38	21	30	22	35	14	16	20	18	27	8	56	38	19	19	31	26	47	32	29	37	39	14	44	39	34	29	36	29	21	12	14	10	31	29	12	22	24	1	3	0	0	
