"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №1917"	
2230	1095	1732	354	1532	2811	1352	1130	1567	1534	2943	1952	1228	1531	2542	2029	2451	1628	1941	2212	2185	2080	3075	2527	1389	1663	1424	2326	1029	1106	1851	1979	1327	1572	2532	2275	2249	
2600	1100	1800	1400	1500	2900	1300	900	1800	1500	3000	1950	1200	1400	2400	2000	2400	1500	1900	2100	2100	2000	3000	2500	1300	1600	1400	2300	1000	1000	1800	2000	1300	1500	2400	2300	2100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	935	1260	351	1456	2651	1198	762	1520	1473	1093	1779	1064	1340	2369	1989	1027	1372	1849	2036	1543	1675	2571	2411	1246	1422	1280	1800	897	965	1739	1786	1291	1266	2011	2095	1821	
8	1	63	3	8	19	20	100	40	7	7	11	4	13	7	4	7	11	28	2	3	9	13	10	12	8	6	136	5	11	11	10	9	8	0	6	0	
593	164	477	1046	36	230	82	38	240	20	1900	160	132	47	24	7	1373	117	23	62	554	316	416	79	42	170	114	364	98	24	50	204	0	226	389	199	279	
8	1	63	3	8	19	20	100	40	7	7	11	4	13	7	4	7	11	28	2	3	9	13	10	12	8	6	136	5	11	11	10	9	8	0	6	0	
1999	935	1260	351	1456	2651	1198	762	1520	1473	1093	1779	1064	1340	2369	1988	1020	1372	1849	2027	1543	1675	2556	2411	1246	1422	1280	1800	897	965	1739	1786	1291	1266	2011	2095	1821	
7	3	4	6	0	0	5	1	0	5	13	3	3	6	4	12	0	17	7	11	8	11	15	6	10	4	4	0	6	36	0	3	10	7	0	9	0	
2000	933	1319	348	1464	2670	1213	861	1560	1475	1087	1787	1065	1347	2372	1980	1027	1366	1870	2018	1538	1673	2554	2415	1248	1426	1282	1936	896	940	1750	1793	1290	1267	2011	2092	1821	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	0	0	0	13	0	0	1	0	0	2	1	1	20	3	10	2	2	3	0	1	3	1	1	1	5	2	1	3	0	0	0	2	0	0	
201	39	132	66	138	340	35	11	68	95	158	63	46	49	71	58	123	136	136	140	203	84	176	135	93	146	159	250	109	111	57	127	110	162	110	62	148	
0	0	4	8	1	5	3	0	1	3	4	0	0	2	0	12	0	3	0	2	2	0	10	3	3	1	3	5	0	1	2	0	0	1	2	0	3	
1780	890	1168	269	1310	2305	1142	850	1486	1373	917	1720	1008	1291	2300	1870	895	1209	1728	1871	1322	1589	2350	2258	1130	1274	1115	1636	784	818	1676	1666	1180	1095	1892	2025	1665	
8	1	8	1	8	2	5	0	4	3	2	1	5	3	0	3	3	3	1	2	2	0	9	9	3	1	3	10	0	5	0	0	0	4	0	2	0	
8	2	2	3	1	18	7	0	0	0	6	1	1	0	0	17	0	1	0	1	3	0	6	5	7	1	0	5	0	3	3	0	0	3	4	1	4	
1	1	1	1	1	0	4	0	0	0	0	1	1	0	0	0	3	2	2	0	3	0	2	0	2	2	0	0	0	1	5	0	0	2	0	1	0	
0	0	4	0	5	0	4	0	1	0	0	1	2	1	0	0	0	2	1	0	0	0	0	2	9	0	1	25	1	0	4	0	0	0	1	1	1	
