"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	
1555	1628	1668	1364	1339	646	1385	1371	1203	1006	1841	
1350	1450	1450	1400	1250	500	1250	1150	1150	900	1750	
0	0	0	0	0	0	0	0	0	0	0	
1218	1199	1194	1071	1053	425	833	790	692	826	1260	
26	24	26	27	27	54	34	21	34	30	35	
106	227	230	302	170	21	383	339	424	44	455	
26	24	26	27	27	54	34	21	34	30	35	
1218	1199	1194	1071	1053	425	833	790	692	826	1260	
18	21	11	10	18	9	7	17	9	11	11	
1226	1202	1209	1088	1062	470	860	794	717	845	1284	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

2	6	5	2	11	3	5	4	2	3	4	
199	208	206	234	184	75	143	142	117	140	231	
90	96	76	85	84	35	84	67	78	76	99	
895	870	889	727	749	344	609	566	504	597	922	
13	9	18	15	14	5	2	3	6	15	6	
9	3	9	13	4	2	5	6	2	6	10	
10	4	4	6	6	2	3	0	5	4	3	
8	6	2	6	10	4	9	6	3	4	9	
