"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	
2884	1872	2357	1644	907	738	842	1007	790	413	116	415	275	554	
2800	1650	2250	1650	900	750	900	950	800	431	119	420	280	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1719	1105	1295	707	459	315	377	602	342	161	61	173	101	252	
10	1	27	13	22	22	6	9	70	23	4	12	16	28	
1071	544	928	930	419	413	517	339	388	247	54	235	163	270	
10	1	27	13	22	22	6	9	70	23	4	12	16	28	
1719	1105	1295	707	459	315	377	602	342	161	61	173	101	252	
24	21	27	11	7	8	6	9	8	2	1	3	0	3	
1705	1085	1295	709	474	329	377	602	404	182	64	182	117	277	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	5	2	1	0	2	1	1	1	0	3	0	0	
361	233	268	143	112	55	71	101	81	27	4	14	3	23	
156	121	166	102	58	37	85	66	52	9	4	18	12	29	
1152	698	825	452	291	236	216	424	258	142	56	147	101	220	
9	11	11	5	3	0	1	2	3	0	0	0	0	1	
9	6	11	2	4	1	1	4	5	3	0	0	0	2	
8	7	8	1	4	0	0	3	2	0	0	0	0	0	
6	4	1	2	1	0	1	1	2	0	0	0	1	2	
