"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	
2052	2389	804	1141	1452	1087	1728	291	366	380	443	99	1996	546	382	259	858	494	307	233	66	65	95	780	93	65	506	191	405	1132	270	394	820	553	339	256	400	849	280	149	510	266	526	144	118	423	2922	
1850	2250	800	1050	1420	1030	1610	290	380	390	440	100	1800	560	390	270	880	520	310	240	69	57	100	810	106	64	520	190	400	1000	270	400	850	580	340	260	400	880	290	144	570	280	500	150	122	440	3000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1209	1354	570	631	816	598	1360	196	218	296	275	57	1073	324	213	176	658	330	197	168	43	47	66	609	68	28	340	118	279	834	206	218	606	361	241	190	279	636	177	86	323	157	281	109	59	303	2621	
171	119	76	79	23	111	196	58	78	65	43	8	167	80	67	36	116	64	33	38	10	10	5	101	16	16	75	40	73	163	36	53	120	71	43	43	83	119	29	52	140	69	139	16	11	80	85	
470	777	154	340	581	321	54	36	84	29	122	35	560	156	110	58	106	126	80	34	16	0	29	100	22	20	105	32	48	3	28	129	124	148	56	27	38	125	84	6	107	54	80	25	52	57	294	
171	119	76	79	23	111	196	58	78	65	43	8	167	80	67	36	116	64	33	38	10	10	5	101	16	16	75	40	73	163	36	53	120	71	43	43	83	119	29	52	140	69	139	16	11	80	85	
1209	1350	570	631	816	598	1360	196	218	296	275	57	1073	324	213	176	658	330	197	168	43	47	66	609	68	28	340	118	279	834	206	218	606	361	241	190	279	636	177	86	323	157	281	109	59	303	2621	
7	18	3	9	12	6	4	1	4	1	3	0	6	0	1	0	2	2	2	0	0	0	0	0	0	1	0	0	0	0	3	2	4	7	3	0	2	2	0	1	4	0	5	1	0	0	20	
1373	1451	643	701	827	703	1552	253	292	360	315	65	1234	404	279	212	772	392	228	206	53	57	71	710	84	43	415	158	352	997	239	269	722	425	281	233	360	753	206	137	459	226	415	124	70	383	2686	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	9	1	4	8	5	4	2	1	1	3	0	7	1	1	0	5	10	4	2	0	0	1	2	0	0	3	0	4	8	2	3	5	4	2	0	5	4	0	0	1	0	1	1	0	0	8	
195	267	67	36	129	74	197	20	33	35	53	3	110	21	42	22	62	68	39	12	4	1	1	90	2	0	38	14	40	59	5	50	36	86	26	26	18	70	42	13	41	52	28	7	4	52	210	
16	78	43	42	57	37	87	16	23	17	28	6	84	24	27	12	36	19	14	7	3	4	5	30	5	3	36	8	30	66	4	31	44	39	29	14	26	65	22	8	18	9	26	10	5	18	258	
1132	1057	521	608	608	572	1242	209	228	302	222	55	1011	353	194	171	658	289	162	183	45	49	64	574	74	40	316	136	269	848	220	173	627	287	221	192	309	604	138	115	391	162	357	103	60	309	2097	
8	16	4	4	13	4	7	2	1	2	3	0	3	3	8	1	4	1	3	1	0	1	0	4	2	0	5	0	2	5	0	3	5	2	0	0	0	0	2	0	5	1	1	1	0	3	74	
8	12	4	2	5	5	7	1	2	1	3	1	13	2	2	4	6	4	5	0	1	0	0	4	0	0	8	0	4	7	7	4	4	2	2	0	1	6	1	1	3	2	2	2	0	1	11	
5	6	2	4	4	4	5	1	1	0	0	0	3	0	3	0	1	0	1	1	0	1	0	6	1	0	6	0	0	2	1	5	0	4	1	0	0	4	1	0	0	0	0	0	1	0	15	
1	6	1	1	3	2	3	2	3	2	3	0	3	0	2	2	0	1	0	0	0	1	0	0	0	0	3	0	3	2	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	13	
