"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	
1786	1636	1690	1594	1887	2130	2028	1708	1981	
1500	1500	1400	1400	1750	1950	1850	1500	1850	
0	0	0	0	0	0	0	0	0	
1090	1100	1130	1170	1276	1161	1310	1102	1334	
237	212	234	194	272	241	279	227	315	
173	188	36	36	202	548	261	171	201	
237	212	234	194	272	241	279	227	315	
1090	1100	1130	1170	1276	1161	1310	1102	1334	
8	9	11	8	10	8	9	8	8	
1319	1303	1353	1356	1538	1394	1580	1321	1641	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

7	5	0	5	2	4	7	9	0	
36	22	14	117	15	147	40	46	18	
44	46	52	59	59	92	44	26	38	
1209	1220	1281	1135	1454	1081	1458	1216	1579	
4	3	3	18	3	26	10	3	3	
11	3	3	6	5	13	8	7	3	
3	1	0	8	0	16	7	7	0	
5	3	0	8	0	15	6	7	0	
