"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	
1706	1426	165	348	110	705	150	110	418	79	528	106	857	669	419	318	1627	583	536	248	300	
1700	1500	170	350	110	700	150	110	400	80	500	105	850	650	400	320	1600	580	500	250	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1107	950	127	277	75	395	78	81	336	36	284	76	442	322	266	245	1040	375	317	203	236	
127	265	24	43	15	107	32	16	56	25	145	7	172	166	42	57	184	135	98	25	25	
466	285	19	30	20	198	40	13	8	19	71	22	236	162	92	18	376	70	85	22	39	
127	265	24	43	15	107	32	16	56	25	145	7	172	166	42	57	184	135	98	25	25	
1107	950	127	277	75	395	78	81	336	36	284	76	442	322	266	245	1040	375	317	203	236	
14	22	0	0	0	5	1	1	0	0	0	0	3	2	1	3	12	1	1	0	0	
1220	1193	151	320	90	497	109	96	392	61	429	83	611	486	307	299	1212	509	414	228	261	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	14	1	1	0	3	1	1	2	0	0	0	3	2	2	0	8	5	3	1	1	
218	178	19	32	4	69	7	5	14	3	23	4	64	139	27	31	177	37	41	32	28	
94	87	14	16	9	36	12	7	12	5	15	5	59	54	21	18	115	24	16	12	13	
872	885	117	268	71	373	85	82	356	53	384	74	477	281	250	246	886	434	343	182	216	
14	8	0	3	0	9	1	1	2	0	6	0	2	4	3	1	6	1	0	0	2	
5	11	0	0	3	6	1	0	5	0	1	0	3	4	3	2	12	6	8	1	0	
5	4	0	0	3	0	0	0	1	0	0	0	3	2	1	0	7	2	2	0	0	
6	6	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	1	0	1	
