"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	
2750	2366	2576	2751	2261	2012	2004	2069	2540	2679	2402	2525	1873	1881	2129	2404	2684	2483	2410	2598	2687	2577	2381	
2010	1910	2020	2150	1700	1550	1550	1610	1980	2080	1940	2020	1470	1440	1700	1960	2180	2020	1960	2070	2170	1910	1930	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1644	1521	1522	1752	1330	1263	1224	1284	1470	1632	1482	1557	1096	1060	1218	1402	1578	1487	1424	1441	1564	1468	1358	
22	57	19	53	51	57	62	43	74	53	50	91	53	75	63	40	64	70	63	50	53	56	75	
344	332	479	345	319	230	264	283	436	395	408	372	321	305	419	518	538	463	473	579	553	386	497	
22	57	19	53	51	57	62	43	74	53	50	91	53	75	63	40	64	70	63	50	53	56	75	
1644	1521	1516	1747	1330	1262	1224	1284	1470	1630	1479	1553	1096	1060	1218	1400	1578	1487	1423	1440	1564	1468	1358	
19	12	26	24	21	19	14	19	19	27	26	22	13	14	10	18	24	28	21	17	28	26	21	
1647	1566	1509	1776	1360	1300	1272	1308	1525	1656	1503	1622	1136	1121	1271	1422	1618	1529	1465	1473	1589	1498	1412	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	8	7	24	10	20	17	12	14	12	20	18	13	8	18	16	24	21	14	12	9	12	12	
209	154	195	206	180	156	177	145	195	141	177	202	134	116	159	173	165	155	176	160	197	162	148	
76	101	107	81	59	57	55	66	64	107	82	84	66	51	63	55	88	71	66	86	96	84	85	
1173	1213	1121	1306	1008	961	897	991	1130	1270	1130	1196	824	824	930	1056	1210	1163	1085	1130	1168	1131	1057	
77	37	37	67	39	34	40	35	46	53	47	52	41	43	49	51	49	45	51	33	48	26	37	
8	13	9	10	9	10	14	8	9	14	9	8	12	11	10	11	18	13	7	14	11	14	16	
29	8	13	38	18	23	19	21	17	22	18	15	23	30	13	27	25	26	21	18	15	23	16	
67	32	20	44	37	39	53	30	50	37	20	47	23	38	29	33	39	35	45	20	45	46	41	
