"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	
362	551	191	192	329	105	350	119	232	92	85	879	1213	925	737	130	224	896	247	375	433	425	394	
397	566	207	203	353	112	366	117	252	101	84	929	1179	974	763	151	238	942	265	391	469	439	410	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
237	351	102	123	190	57	183	75	143	64	51	542	713	526	394	84	121	517	156	239	270	254	231	
28	36	12	5	15	10	27	10	20	3	5	19	65	50	34	8	29	64	8	16	23	36	39	
132	179	93	75	148	45	156	32	89	34	28	368	401	398	335	59	88	361	101	136	176	149	140	
28	36	12	5	15	10	27	10	20	3	5	19	65	50	34	8	29	64	8	16	23	36	39	
237	351	102	123	190	57	183	75	143	64	51	542	713	526	394	84	121	517	156	239	270	254	231	
0	0	0	1	3	0	0	0	0	0	0	7	8	3	2	0	0	1	2	1	3	1	4	
265	387	114	127	202	67	210	85	163	67	56	554	770	573	426	92	150	580	162	254	290	289	266	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	1	2	2	0	1	1	2	0	0	1	7	7	5	0	2	1	1	2	2	2	4	
34	44	4	12	26	8	22	6	11	4	1	51	113	54	43	4	6	46	17	16	29	33	20	
29	21	7	7	22	7	23	7	20	5	11	53	68	44	38	4	11	51	7	20	34	19	29	
199	314	100	105	152	52	160	70	124	56	39	436	567	453	329	84	131	478	133	214	219	227	209	
1	6	1	0	0	0	3	0	2	0	3	7	6	5	4	0	0	0	1	1	1	4	1	
0	0	1	0	0	0	1	1	4	2	1	2	4	4	2	0	0	2	2	1	4	1	1	
1	0	0	1	0	0	0	0	0	0	0	4	2	5	1	0	0	2	1	0	1	2	1	
0	0	0	0	0	0	0	0	0	0	1	0	3	1	4	0	0	0	0	0	0	1	1	
