"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	
922	846	197	641	255	
810	690	180	540	240	
0	0	0	0	0	
507	452	108	294	106	
31	13	7	23	9	
272	225	65	223	125	
31	13	7	23	9	
507	452	108	294	106	
8	5	2	2	2	
530	460	113	315	113	
0	0	0	0	0	
0	0	0	0	0	

2	0	0	0	1	
78	72	13	49	11	
34	59	6	27	16	
409	319	91	228	83	
4	2	0	8	0	
1	3	2	1	2	
1	4	1	2	0	
1	1	0	0	0	
