"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	
1973	640	687	161	669	161	
2100	700	770	170	730	170	
0	168	107	15	0	12	
1760	432	522	129	577	135	
146	26	39	13	69	14	
194	74	102	13	84	9	
146	194	146	28	69	26	
1760	432	522	129	577	135	
5	1	3	0	2	0	
1901	625	665	157	644	161	
0	0	0	0	0	0	
0	0	0	0	0	0	

0	1	3	1	0	0	
6	8	9	3	18	1	
15	4	11	0	3	0	
1847	607	632	151	618	157	
25	4	5	1	3	3	
0	1	4	1	1	0	
0	0	0	0	0	0	
8	0	1	0	1	0	
