"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №674"	
1117	283	44	218	355	179	56	1560	188	570	95	910	263	1364	1347	1630	2140	645	1107	1359	508	287	46	
1100	250	40	200	300	150	40	1300	150	500	90	800	220	1200	1200	1400	1800	550	950	1200	400	270	50	
513	22	8	31	45	0	0	0	33	0	0	0	21	0	0	0	0	0	0	12	15	0	0	
361	173	14	69	148	96	24	1034	107	301	59	499	114	782	775	974	1330	403	498	665	246	133	41	
28	7	0	15	16	15	0	26	7	20	4	16	11	53	86	59	60	12	10	39	51	23	0	
198	48	18	85	91	39	16	240	3	179	27	285	74	365	339	367	410	135	442	484	88	114	9	
541	29	8	46	61	15	0	26	40	20	4	16	32	53	86	59	60	12	10	51	66	23	0	
361	173	14	69	148	96	24	1034	107	301	59	499	114	782	775	974	1330	403	498	665	246	133	41	
24	2	0	1	0	0	0	25	0	6	2	15	2	7	12	13	23	11	15	9	8	0	2	
878	200	22	114	209	111	24	1035	147	315	61	500	144	828	849	1020	1367	404	493	707	304	156	39	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	3	0	1	0	2	0	3	4	3	1	2	1	5	8	13	12	2	2	7	2	1	0	
104	11	4	12	16	8	0	145	10	33	3	74	12	136	109	181	220	58	54	106	51	15	1	
180	19	0	8	18	23	4	188	16	30	7	95	27	111	108	134	139	61	88	117	27	15	8	
535	163	18	90	169	77	20	663	109	244	50	308	96	547	594	645	929	263	328	449	219	118	30	
26	4	0	1	3	0	0	13	6	1	0	8	1	13	12	16	28	12	5	9	4	3	0	
8	0	0	1	2	1	0	6	1	1	0	3	1	4	4	6	14	2	5	7	0	3	0	
6	0	0	1	1	0	0	13	1	3	0	5	2	6	8	11	12	3	9	5	0	0	0	
5	0	0	0	0	0	0	4	0	0	0	5	4	6	6	14	13	3	2	7	1	1	0	
