"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	
784	1246	515	166	45	206	227	355	81	51	252	27	301	75	57	246	44	105	
800	1000	490	150	50	200	230	350	80	50	280	40	350	80	60	290	40	110	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
503	931	355	135	38	153	169	262	64	36	189	21	221	49	37	175	30	66	
47	38	26	5	0	17	16	24	0	3	22	4	25	6	8	51	8	9	
250	31	109	10	12	30	45	64	16	11	69	15	104	25	15	64	2	35	
47	38	26	5	0	17	16	24	0	3	22	4	25	6	8	51	8	9	
503	931	355	135	38	153	169	262	64	36	189	21	221	49	37	175	30	66	
4	11	2	2	0	1	1	2	2	0	2	0	1	0	1	1	0	0	
546	958	379	138	38	169	184	284	62	39	209	25	245	55	44	225	38	75	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	1	1	0	1	0	1	2	0	0	0	2	0	1	3	0	0	
87	138	76	7	5	19	9	38	7	4	25	1	29	2	4	18	4	9	
51	73	30	15	2	16	27	11	0	2	15	1	15	4	2	7	5	3	
402	724	266	114	30	129	146	229	53	32	164	23	196	48	37	194	26	62	
0	10	2	0	0	0	0	3	0	0	2	0	1	1	0	2	1	1	
2	6	3	1	0	3	0	1	0	1	2	0	2	0	0	1	2	0	
1	3	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	
0	2	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	
