"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	
884	385	639	672	185	603	1890	1701	350	375	93	
900	350	750	700	300	600	2000	1800	400	500	120	
0	0	0	0	0	0	0	0	0	0	0	
472	216	353	449	155	360	1269	1118	216	277	93	
110	71	67	22	30	38	128	64	71	81	0	
318	63	330	229	115	202	603	618	113	142	27	
110	71	67	22	30	38	128	64	71	81	0	
472	216	353	449	155	360	1267	1118	216	277	93	
13	4	9	16	4	11	46	27	7	10	3	
569	283	411	455	181	387	1349	1155	280	348	90	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

2	3	2	4	2	6	10	8	1	4	0	
105	69	83	128	35	90	351	281	51	73	19	
66	46	38	61	18	41	142	113	32	33	17	
379	163	279	247	118	245	807	714	185	227	49	
10	1	3	6	5	2	19	6	7	5	1	
6	1	3	5	1	2	9	15	1	3	3	
1	0	1	4	2	0	6	10	2	1	0	
0	0	2	0	0	1	5	8	1	2	1	
