"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	
1619	906	2054	1860	2152	1608	1835	2414	1923	1899	2002	2040	2297	2240	2435	2616	2016	2114	2369	2653	1935	1367	1501	460	1850	1350	1946	1849	1963	1637	2126	1687	1888	1855	1923	1949	2071	2169	1945	2300	2252	1932	2287	1986	2288	1998	1924	1153	400	2030	682	1787	1805	1596	1085	1185	262	185	501	391	540	263	1254	1622	266	254	933	332	137	203	269	746	687	352	396	667	174	
1250	750	1500	1500	1750	1250	1500	1750	1500	1500	1800	1500	1750	1750	1750	2000	1500	1750	1750	2000	1500	1000	1250	350	1500	1000	1500	1500	1500	1250	1750	1500	1500	1500	1500	1500	1550	1750	1500	1750	1750	1500	1750	1500	1750	1500	1500	1000	260	1500	550	1500	1500	1250	1000	1000	245	170	450	320	500	200	1000	1250	250	200	800	250	110	160	245	660	630	330	350	810	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
975	466	1288	1109	1305	1073	1096	1448	1173	1158	1293	1355	1379	1501	1505	1648	1239	1614	1513	1799	1187	836	891	266	1130	841	1186	1182	1135	936	1400	1082	1227	1192	1141	1137	1312	1510	1284	1584	1431	1226	1427	1129	1419	1209	1197	713	141	1120	404	1230	1160	1081	765	827	203	134	265	193	263	153	811	951	131	146	531	178	43	138	200	543	557	229	219	281	174	
183	90	119	198	205	84	59	302	200	195	210	76	118	67	91	140	52	136	88	190	65	110	77	9	98	106	182	125	80	67	106	87	57	65	80	81	50	127	40	61	91	73	57	148	51	87	63	42	95	81	99	79	190	124	58	60	27	36	124	125	152	21	87	126	75	43	225	36	59	20	20	112	73	47	96	386	0	
92	194	93	193	240	93	345	0	127	147	297	69	253	182	154	212	209	0	149	11	248	54	282	75	272	53	132	193	285	247	244	331	216	243	279	282	188	113	176	105	228	201	266	223	280	204	240	245	24	299	47	191	150	45	177	113	15	0	61	2	85	26	102	173	44	11	44	36	8	2	25	5	0	54	35	143	26	
183	90	119	198	205	84	59	302	200	195	210	76	118	67	91	140	52	136	88	190	65	110	77	9	98	106	182	125	80	67	106	87	57	65	80	81	50	127	40	61	91	73	57	148	51	87	63	42	95	81	99	79	190	124	58	60	27	36	124	125	152	21	87	126	75	43	225	36	59	20	20	112	73	47	96	386	0	
975	466	1287	1109	1305	1073	1096	1448	1173	1158	1293	1355	1379	1501	1505	1648	1239	1614	1512	1799	1187	836	891	266	1130	841	1186	1182	1135	936	1400	1082	1227	1192	1141	1137	1312	1510	1284	1583	1431	1225	1425	1129	1419	1209	1197	713	141	1120	404	1230	1160	1081	765	827	203	134	265	193	263	153	811	951	131	146	531	178	43	138	200	543	557	229	219	281	174	
12	4	18	19	15	10	15	7	14	19	10	15	10	19	24	20	22	12	26	15	15	8	13	3	9	7	12	25	12	15	14	25	21	22	9	17	12	23	12	19	5	14	7	19	12	5	19	10	4	15	7	7	16	4	9	1	0	0	4	1	0	2	9	4	1	0	9	17	0	1	1	3	3	2	2	8	1	
1146	552	1388	1288	1495	1147	1140	1743	1359	1334	1493	1416	1487	1549	1572	1768	1269	1738	1574	1974	1237	938	955	272	1219	940	1356	1282	1203	988	1492	1144	1263	1235	1212	1201	1350	1614	1312	1625	1517	1284	1475	1258	1458	1291	1241	745	232	1186	496	1302	1334	1201	814	886	230	170	385	317	415	172	889	1073	205	189	747	197	102	157	219	652	627	274	313	659	173	
