"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	
1356	820	342	605	81	309	87	444	1225	512	710	1360	211	487	468	520	1162	812	1085	737	234	169	274	206	2165	1227	1598	1615	104	162	214	994	642	198	191	222	2203	1968	1067	1281	376	148	302	978	2235	2147	2208	2396	1778	449	733	225	82	1259	428	1917	550	454	716	3061	127	526	190	709	202	1364	1847	1168	1240	253	837	1189	1461	1936	1673	2026	743	515	911	1292	213	
1345	850	355	600	85	300	90	390	1155	480	707	1360	230	480	450	525	1135	810	1060	750	225	160	280	200	2210	1190	1575	1630	100	150	210	995	655	185	165	205	2140	1885	1045	1260	375	135	305	975	2165	2205	2175	2285	1775	445	750	210	90	1270	405	1925	545	445	730	2780	110	535	175	715	200	1345	1795	1155	1245	245	790	1155	1415	1910	1655	2000	735	515	915	1325	205	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
799	455	246	360	62	187	64	346	752	458	610	1089	172	315	335	406	884	617	835	574	213	153	188	146	1406	751	956	862	61	116	165	947	529	175	165	204	1879	1196	928	1076	317	126	257	794	1193	1375	1453	1330	896	382	481	157	76	1025	294	1548	511	393	593	2297	70	431	167	590	179	1036	1149	626	673	226	704	512	1187	1032	901	1391	617	430	718	1042	128	
119	68	19	58	10	63	15	44	101	20	29	122	11	29	23	0	34	36	28	31	6	0	23	6	39	38	47	53	12	9	0	12	49	10	0	0	110	81	65	52	21	6	7	53	13	20	31	40	13	1	58	23	6	57	30	37	18	36	37	57	26	15	8	57	12	61	64	89	70	12	66	67	36	53	50	75	37	29	66	87	14	
427	327	90	182	13	50	11	0	302	2	68	149	47	136	92	119	217	157	197	145	6	7	69	48	765	401	572	715	27	25	45	36	77	0	0	1	151	608	52	132	37	3	41	128	959	810	691	915	866	62	211	30	8	188	81	340	16	16	100	425	14	89	0	68	9	248	582	440	502	7	20	576	192	825	704	534	81	56	131	196	63	
119	68	19	58	10	63	15	44	101	20	29	122	11	29	23	0	34	36	28	31	6	0	23	6	39	38	47	53	12	9	0	12	49	10	0	0	110	81	65	52	21	6	7	53	13	20	31	40	13	1	58	23	6	57	30	37	18	36	37	57	26	15	8	57	12	61	64	89	70	12	66	67	36	53	50	75	37	29	66	87	14	
799	455	246	360	62	187	64	346	752	458	610	1089	172	315	335	406	884	617	835	574	213	153	188	146	1406	751	956	862	61	116	165	947	529	175	165	204	1879	1195	928	1076	317	126	257	794	1193	1375	1452	1328	896	382	481	157	76	1025	294	1543	511	393	593	2297	70	431	167	590	179	1036	1149	626	673	226	704	512	1186	1032	901	1391	617	430	718	1042	128	
6	4	0	4	0	0	0	13	10	14	5	0	0	0	5	5	8	6	0	5	6	0	4	0	18	0	10	12	0	0	1	0	0	0	11	2	0	9	2	11	0	0	1	4	20	1	25	11	41	1	2	0	0	0	1	14	0	0	5	24	0	0	0	0	0	4	23	5	5	2	2	4	8	14	8	15	2	3	0	2	0	
912	519	265	414	72	250	79	377	843	464	634	1211	183	344	353	401	910	647	863	600	213	153	207	152	1427	789	993	903	73	125	164	959	578	185	154	202	1989	1267	991	1117	338	132	263	843	1186	1394	1458	1357	868	382	537	180	82	1082	323	1566	529	429	625	2330	96	446	175	647	191	1093	1190	710	738	236	768	575	1214	1071	943	1451	652	456	784	1127	142	
