"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	
672	528	1073	653	384	1080	923	1144	485	880	974	60	573	969	890	496	400	457	1148	667	784	381	889	503	138	158	165	214	251	870	383	317	394	325	514	1437	581	319	1051	281	
750	450	1000	650	350	1000	900	1000	500	900	1000	100	550	900	900	500	400	450	1000	700	800	400	900	500	150	170	180	220	250	900	470	330	400	360	530	1400	600	310	1100	370	
0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	198	19	18	11	0	106	30	162	25	3	17	
266	317	556	344	178	483	521	638	309	328	544	60	291	606	438	256	213	292	599	416	441	186	352	174	21	107	111	119	126	386	257	152	166	209	266	697	268	170	521	166	
67	7	39	10	57	64	31	38	19	24	39	0	29	24	26	20	10	14	22	24	27	26	32	24	117	8	11	4	8	59	24	25	27	22	13	17	20	0	54	41	
417	126	405	296	115	453	348	324	172	539	417	40	230	270	436	224	177	144	379	260	332	188	516	302	12	51	58	93	116	257	170	135	196	129	145	656	150	115	522	146	
67	7	39	10	57	64	31	38	19	33	39	0	29	24	26	20	10	14	22	24	27	26	32	24	117	12	11	8	8	257	43	43	38	22	119	47	182	25	57	58	
266	317	556	344	178	483	521	638	309	328	544	60	291	606	438	256	213	292	599	416	441	186	352	174	21	107	111	119	125	386	257	152	166	209	266	697	268	170	521	166	
2	3	8	10	1	17	13	9	4	5	6	1	6	14	4	5	1	3	12	10	10	4	13	2	4	6	2	0	3	12	5	5	6	2	5	10	10	4	14	5	
331	321	587	344	234	530	539	667	324	356	577	59	314	616	460	271	222	303	609	430	458	208	371	196	134	113	120	127	130	631	295	190	198	229	380	734	440	191	564	219	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	5	5	1	3	5	4	0	4	6	1	0	6	0	3	2	1	8	1	3	4	4	1	0	0	0	0	2	6	2	1	2	1	1	5	3	0	3	1	
66	75	97	56	37	81	93	148	64	83	92	5	59	118	114	46	50	57	99	81	79	33	70	27	8	12	28	16	15	97	21	18	22	23	55	96	61	6	57	9	
36	36	61	45	36	80	58	51	27	45	55	25	30	45	43	26	25	32	64	33	52	34	39	24	22	8	17	18	15	86	67	18	28	22	60	108	68	18	92	33	
221	193	400	225	155	359	363	440	223	214	404	25	215	429	288	189	137	202	422	303	310	135	252	141	98	89	72	88	96	418	196	153	141	179	247	512	299	157	399	162	
0	6	6	5	1	2	4	5	2	5	4	1	4	6	5	1	4	5	6	2	4	1	3	1	2	1	1	3	0	6	8	0	2	2	6	5	6	5	2	5	
3	8	8	2	2	3	7	6	3	1	5	0	4	2	2	2	3	1	1	5	5	0	1	1	3	3	1	0	2	6	1	0	2	1	3	3	2	3	6	3	
2	0	6	4	1	1	4	6	1	1	3	2	2	6	4	4	1	2	6	2	2	0	1	1	1	0	0	1	0	4	0	0	1	1	6	0	0	2	3	5	
1	3	4	2	1	1	5	7	4	3	8	0	0	4	4	0	0	3	3	3	3	1	1	0	0	0	1	1	0	8	0	0	0	0	2	5	1	0	2	1	
