"УИК №3301"	"УИК №3302"	"УИК №3303"	"УИК №3304"	"УИК №3305"	"УИК №3306"	"УИК №3307"	"УИК №3308"	"УИК №3309"	"УИК №3310"	"УИК №3311"	"УИК №3312"	"УИК №3313"	"УИК №3314"	"УИК №3315"	"УИК №3316"	"УИК №3317"	"УИК №3318"	"УИК №3319"	"УИК №3320"	"УИК №3321"	"УИК №3322"	"УИК №3323"	"УИК №3324"	"УИК №3325"	"УИК №3326"	"УИК №3327"	"УИК №3328"	"УИК №3329"	"УИК №3330"	"УИК №3331"	"УИК №3332"	"УИК №3333"	"УИК №3334"	
275	159	451	135	962	777	321	208	683	543	585	1129	605	478	1082	826	1292	982	232	519	630	657	121	89	224	135	311	784	101	916	212	617	161	295	
285	165	460	155	1000	825	350	235	715	595	665	1135	600	500	1100	815	1305	1015	235	520	680	705	115	85	245	145	325	805	90	970	230	655	180	310	
0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	45	0	0	0	0	
213	138	282	100	596	588	234	126	361	361	491	733	330	281	593	653	765	576	143	317	248	406	72	42	158	110	157	374	88	610	172	336	115	230	
0	6	14	3	36	47	24	14	21	12	48	68	20	5	46	23	26	14	0	48	91	38	2	6	19	3	17	22	2	30	7	21	15	13	
72	21	103	52	368	190	92	95	333	222	126	334	250	214	461	139	514	425	92	155	265	261	41	37	68	32	151	409	0	285	51	298	50	67	
0	6	75	3	36	47	24	14	21	12	48	68	20	5	46	23	26	14	0	48	167	38	2	6	19	3	17	22	2	75	7	21	15	13	
213	138	282	100	596	588	234	126	361	361	491	733	330	281	593	653	765	576	143	317	248	406	72	42	158	110	157	374	88	610	172	336	115	230	
1	0	5	0	9	4	5	0	1	4	1	2	4	9	12	6	16	0	0	7	4	3	1	1	3	0	1	2	0	7	0	8	0	0	
212	144	352	103	623	631	253	140	381	369	538	799	346	277	627	670	775	590	143	358	411	441	73	47	174	113	173	394	90	678	179	349	130	243	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	4	0	3	4	4	0	5	1	1	1	2	3	2	4	8	2	0	3	2	3	0	0	2	1	1	3	1	6	1	6	0	1	
6	6	46	6	81	88	18	8	87	72	97	149	80	64	154	150	191	165	28	58	77	37	5	6	16	22	22	49	1	76	22	62	7	30	
14	14	29	6	74	55	18	12	42	36	31	65	27	20	60	50	63	38	20	35	27	57	14	6	29	1	7	27	8	75	10	25	10	16	
190	120	270	89	445	478	208	118	240	253	396	562	223	178	396	448	490	371	93	255	296	340	53	33	125	86	141	304	80	506	145	249	110	196	
0	1	0	0	8	4	2	1	4	2	7	5	6	4	2	8	8	9	0	2	2	0	0	2	0	2	0	2	0	5	0	2	2	0	
1	0	1	0	6	0	1	1	1	2	2	5	0	2	6	5	6	1	0	3	6	4	1	0	1	0	1	4	0	4	1	3	1	0	
0	3	2	0	3	0	1	0	1	1	3	9	6	3	3	2	2	2	1	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	
1	0	0	2	3	2	1	0	1	2	1	3	2	3	4	3	7	2	1	2	0	0	0	0	1	0	1	3	0	6	0	1	0	0	
