"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	
1691	1552	2082	1439	416	1931	296	619	510	114	324	564	59	173	313	674	124	78	158	141	638	225	101	
1650	1500	2000	1400	400	1900	270	600	450	100	300	500	50	150	300	600	100	70	150	120	600	200	90	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
849	916	1236	748	215	990	140	287	329	62	162	352	47	117	178	398	70	46	69	86	344	136	59	
128	157	118	69	38	77	53	46	50	8	41	22	2	12	51	84	7	15	31	12	81	22	4	
673	427	646	583	147	833	77	267	71	30	97	126	1	21	71	118	23	9	50	22	175	42	27	
128	157	118	69	38	77	53	46	50	8	41	22	2	12	51	84	7	15	31	12	81	22	4	
849	916	1236	748	215	990	140	287	329	62	162	352	47	117	178	398	70	46	69	86	344	136	59	
14	11	16	13	1	15	5	5	0	0	0	0	1	2	3	2	1	1	0	0	5	0	0	
963	1062	1338	804	252	1052	188	328	379	70	203	374	48	127	226	480	76	60	100	98	420	158	63	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	13	13	8	1	6	1	3	3	0	0	1	0	0	0	8	0	0	0	1	2	0	1	
165	199	228	157	37	171	25	45	65	3	8	108	1	11	21	57	11	10	6	3	73	31	18	
101	80	81	80	18	123	28	52	20	5	6	4	4	12	15	55	3	4	1	7	28	10	3	
659	737	977	537	183	724	132	210	279	61	186	245	42	103	187	348	61	45	93	85	309	114	38	
9	8	11	5	4	6	2	5	3	0	1	5	1	0	0	2	1	0	0	0	5	1	1	
10	9	18	11	6	14	0	6	7	0	0	8	0	0	3	6	0	1	0	1	2	1	0	
2	8	7	5	1	4	0	3	2	1	0	1	0	1	0	3	0	0	0	0	1	1	1	
5	8	3	1	2	4	0	4	0	0	2	2	0	0	0	1	0	0	0	1	0	0	1	
