"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	
974	634	963	611	953	944	257	987	1162	536	525	569	586	126	361	439	370	870	433	701	541	431	741	216	256	371	67	69	430	722	
1016	690	1015	672	1000	925	265	1050	1231	590	565	590	615	135	395	470	415	910	455	730	545	460	790	215	280	415	85	70	460	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
662	406	531	438	586	567	188	513	553	435	452	488	489	92	297	364	285	707	331	505	452	228	571	135	185	302	41	30	303	377	
171	104	94	100	190	138	46	149	190	63	53	42	45	24	28	42	60	98	59	145	51	49	101	48	37	44	22	32	93	181	
183	180	390	134	224	220	31	388	488	92	60	60	81	19	70	64	70	105	65	80	42	183	118	32	58	69	22	8	64	192	
171	104	94	100	190	138	46	149	189	63	53	42	45	24	28	42	60	98	59	145	51	49	101	48	37	44	22	32	93	181	
662	406	531	438	586	567	188	513	553	435	452	488	489	92	297	364	285	707	331	505	452	228	571	135	185	302	41	30	303	377	
10	5	7	2	3	7	0	17	11	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	1	
823	505	618	536	773	698	234	645	731	498	505	530	534	116	325	406	345	805	389	647	500	277	672	183	222	346	63	62	396	557	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	6	0	2	1	0	4	5	0	0	0	2	0	0	0	0	0	2	2	1	3	1	4	0	0	0	0	0	1	
142	105	141	52	105	103	20	121	136	39	15	40	26	3	30	17	16	58	13	23	16	79	29	10	10	18	0	9	22	12	
37	33	42	30	20	14	1	41	42	3	13	2	4	1	0	3	0	12	7	12	17	16	2	10	6	2	1	0	6	13	
623	355	421	450	637	570	212	466	535	455	470	485	497	110	295	383	329	735	363	605	464	179	637	144	206	326	61	53	367	529	
2	4	1	1	2	3	0	3	2	0	1	0	2	0	0	1	0	0	0	1	1	0	0	9	0	0	1	0	1	0	
6	4	4	2	3	4	1	5	8	0	3	3	3	2	0	2	0	0	3	1	0	0	1	2	0	0	0	0	0	1	
5	3	1	0	1	2	0	2	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	
2	0	2	1	3	1	0	3	2	1	0	0	0	0	0	0	0	0	1	2	1	0	2	2	0	0	0	0	0	1	
