"УИК №1099"	"УИК №1100"	"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	"УИК №1115"	"УИК №1116"	"УИК №1117"	"УИК №1118"	"УИК №1119"	
502	405	202	366	941	114	176	179	147	679	411	173	411	301	627	247	436	305	286	598	266	
490	390	190	340	920	100	170	170	140	660	400	160	400	280	620	240	430	300	280	590	260	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
402	306	147	246	615	73	126	127	97	425	261	108	273	202	420	170	290	215	203	389	215	
50	55	16	37	86	19	20	24	36	92	56	45	44	33	50	26	78	41	56	35	26	
38	29	27	57	219	8	24	19	7	143	83	7	83	45	150	44	62	44	21	166	19	
50	55	16	37	86	19	20	24	36	92	56	45	44	33	50	26	78	41	56	35	26	
402	306	147	246	615	73	126	127	97	425	261	108	273	202	420	170	290	215	203	389	215	
3	2	0	4	7	0	1	1	2	2	2	1	1	0	5	2	5	1	5	7	1	
449	359	163	279	694	92	145	150	131	515	315	152	316	235	465	194	363	255	254	417	240	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	1	2	8	1	0	2	1	4	1	0	3	2	3	0	0	2	1	4	1	
43	33	16	33	84	3	7	10	15	41	32	13	19	52	35	15	34	23	15	37	38	
14	21	4	15	44	5	8	7	5	25	14	3	19	14	25	9	18	12	6	13	21	
382	301	139	222	544	82	127	131	107	437	264	136	270	161	393	167	309	215	229	352	175	
4	0	2	3	8	0	1	0	2	2	0	0	2	2	3	2	1	3	1	3	2	
2	1	0	1	3	1	0	0	1	2	4	0	0	3	2	1	0	0	0	2	1	
0	1	1	1	3	0	0	0	0	2	0	0	1	0	2	0	0	0	0	3	1	
0	1	0	2	0	0	2	0	0	2	0	0	2	1	2	0	1	0	2	3	1	
