"УИК №3192"	"УИК №3193"	"УИК №3194"	"УИК №3195"	"УИК №3196"	"УИК №3197"	"УИК №3198"	"УИК №3199"	"УИК №3200"	"УИК №3201"	"УИК №3202"	"УИК №3203"	"УИК №3204"	"УИК №3205"	"УИК №3206"	"УИК №3207"	"УИК №3208"	"УИК №3209"	"УИК №3210"	"УИК №3211"	"УИК №3212"	"УИК №3213"	"УИК №3214"	"УИК №3215"	"УИК №3216"	"УИК №3217"	"УИК №3218"	"УИК №3219"	"УИК №3220"	"УИК №3221"	"УИК №3222"	"УИК №3223"	"УИК №3224"	"УИК №3225"	"УИК №3226"	"УИК №3227"	"УИК №3228"	"УИК №3229"	"УИК №3230"	"УИК №3231"	"УИК №3232"	"УИК №3233"	"УИК №3234"	"УИК №3235"	"УИК №3236"	"УИК №3237"	"УИК №3238"	"УИК №3239"	"УИК №3240"	"УИК №3241"	"УИК №3242"	"УИК №3243"	"УИК №3244"	"УИК №3245"	"УИК №3246"	"УИК №3247"	"УИК №3248"	"УИК №3249"	"УИК №3250"	"УИК №3251"	
283	238	93	90	100	316	121	63	123	931	791	610	981	1812	453	545	384	380	1177	418	634	942	550	74	73	84	192	354	849	208	416	259	606	248	147	226	756	240	101	248	125	131	407	809	194	387	582	198	104	218	206	126	585	369	404	710	167	201	322	95	
280	224	82	83	94	313	109	57	108	888	744	568	973	1782	425	536	346	359	1177	386	583	949	533	69	67	81	180	351	804	199	395	237	579	231	133	207	731	225	89	234	117	120	390	760	177	385	564	189	99	208	189	132	605	338	379	690	161	189	297	87	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
191	168	74	69	68	238	104	50	80	764	626	509	814	1523	367	451	300	313	1018	360	521	817	484	52	59	71	138	332	676	168	368	213	495	212	111	201	582	184	75	180	95	86	308	679	149	310	441	122	80	157	173	118	585	320	343	594	140	183	236	76	
13	11	4	0	3	0	0	0	0	34	46	9	17	23	7	13	9	11	45	11	19	21	12	3	7	2	12	0	15	1	14	7	39	0	6	6	22	5	0	1	4	11	5	25	11	18	24	10	6	5	3	5	0	0	5	24	4	0	11	4	
76	45	4	14	23	75	5	7	28	90	72	50	142	236	51	72	37	35	114	15	43	111	37	14	1	8	30	19	113	30	13	17	45	19	16	0	127	36	14	53	18	23	77	56	17	57	99	57	13	46	13	9	20	18	31	72	17	6	50	7	
13	11	4	0	3	0	0	0	0	34	46	9	17	23	7	13	9	11	45	11	19	20	12	3	7	2	12	0	15	1	14	7	39	0	6	6	22	5	0	1	4	11	5	25	11	18	24	10	6	5	3	5	0	0	5	24	4	0	11	4	
191	168	74	69	68	238	104	50	80	764	626	509	814	1523	367	451	300	313	973	360	521	817	484	52	59	71	138	332	676	168	368	213	495	212	111	201	582	184	75	180	95	86	308	679	149	310	441	122	80	157	173	118	585	320	343	594	140	183	236	76	
1	2	1	6	1	5	0	1	0	7	11	10	7	0	0	1	3	4	16	5	3	11	0	0	0	0	1	0	12	2	3	1	4	0	0	0	9	0	1	1	0	0	2	5	4	3	3	3	0	1	1	0	10	1	0	19	0	2	2	1	
203	177	77	63	70	233	104	49	80	791	661	508	824	1546	374	463	306	320	1002	366	537	826	496	55	66	73	149	332	679	167	379	219	530	212	117	207	595	189	74	180	99	97	311	699	156	325	462	129	86	161	175	123	575	319	348	599	144	181	245	79	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	0	0	1	0	0	0	3	3	6	3	7	4	0	0	1	5	7	1	8	3	0	0	0	0	3	6	0	3	0	2	0	0	0	8	0	0	3	0	0	0	9	2	2	3	0	3	1	1	0	3	0	4	4	0	0	1	1	
23	37	5	13	13	26	10	3	13	142	50	85	95	196	61	31	63	37	158	39	88	130	85	6	5	4	14	24	99	19	42	11	60	19	15	11	73	26	7	18	10	18	68	59	11	28	88	15	20	17	5	4	94	24	22	59	15	14	76	13	
6	1	2	0	4	3	3	3	6	27	18	15	32	34	19	12	17	12	48	21	6	58	26	0	3	4	5	6	52	7	17	6	35	6	10	9	44	5	5	8	1	3	7	30	9	12	11	6	0	3	5	6	16	18	13	25	4	3	11	2	
169	130	70	45	50	193	91	43	58	602	562	381	671	1272	282	416	220	266	764	293	432	600	376	49	58	64	125	293	508	132	310	197	425	180	85	182	463	152	60	146	87	75	229	578	128	275	350	103	61	135	162	109	436	272	300	504	124	162	153	61	
1	5	0	4	2	6	0	0	1	3	3	10	6	11	4	1	2	3	12	0	5	2	1	0	0	1	0	5	4	2	1	3	2	4	0	1	2	1	1	2	0	1	7	10	4	6	3	1	1	0	0	1	10	2	6	3	1	1	0	1	
3	1	0	0	0	2	0	0	2	6	9	8	10	18	2	3	2	1	10	4	2	19	2	0	0	0	5	1	6	7	6	1	4	0	7	4	5	2	1	2	0	0	0	7	1	0	5	3	1	3	2	1	8	1	2	3	0	0	2	0	
0	1	0	1	0	0	0	0	0	3	11	1	7	7	0	0	0	0	3	0	0	7	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	1	0	2	3	1	1	1	0	0	2	0	
0	1	0	0	1	2	0	0	0	5	5	2	0	1	2	0	2	0	2	2	3	2	1	0	0	0	0	0	2	0	0	0	2	3	0	0	0	3	0	0	1	0	0	2	1	2	1	1	0	1	0	0	5	1	0	0	0	1	0	1	
