"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	
509	530	1749	1752	1145	1695	2358	2173	86	354	1178	1412	804	1038	1189	1925	
450	450	1650	1650	1000	1500	2150	2000	100	300	1000	1300	750	950	1100	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
260	284	912	933	543	918	1246	1220	60	157	641	741	426	559	532	984	
24	20	35	27	28	20	50	38	26	8	9	31	28	49	57	39	
166	146	703	690	429	562	854	742	14	135	350	528	296	342	511	777	
24	20	35	27	28	20	50	38	26	8	9	31	28	49	57	39	
260	284	909	933	543	917	1245	1220	60	157	641	741	426	559	532	984	
5	2	20	18	9	17	26	18	0	2	12	19	9	7	19	15	
279	302	924	942	562	920	1269	1240	86	163	638	753	445	601	570	1008	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	5	6	3	3	5	4	1	0	5	6	2	7	2	8	
34	51	173	149	89	177	234	247	11	32	146	126	81	88	83	118	
27	32	109	89	53	95	111	108	9	9	48	77	46	77	41	80	
214	211	608	656	393	617	891	836	64	120	424	531	306	413	428	768	
2	4	11	16	12	14	9	28	0	1	7	4	4	5	7	16	
0	1	8	10	5	3	6	8	0	1	5	5	2	5	2	7	
2	1	7	9	4	8	8	4	1	0	2	4	1	2	2	6	
0	0	3	7	3	3	5	5	0	0	1	0	3	4	5	5	
