"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	
2765	171	69	102	362	136	411	283	150	476	169	136	211	83	101	372	389	136	124	336	289	160	147	
2771	171	75	108	374	139	415	309	150	474	181	131	227	99	109	398	420	149	122	334	292	157	139	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1793	102	37	75	234	93	286	186	103	275	130	94	137	65	61	245	227	94	78	245	208	128	107	
100	15	4	4	29	8	38	25	3	48	17	17	17	8	21	39	40	4	7	17	14	12	7	
878	54	34	29	111	38	91	98	44	151	34	20	73	26	27	114	153	51	37	72	70	17	25	
100	15	4	4	29	8	38	25	3	48	17	17	17	8	21	39	40	4	7	17	14	12	7	
1792	102	37	75	234	93	286	186	103	275	130	94	137	65	61	245	227	94	78	245	208	128	107	
33	1	2	3	2	1	1	4	0	4	0	1	2	0	2	3	1	2	0	2	4	0	0	
1859	116	39	76	261	100	323	207	106	319	147	110	152	73	80	281	266	96	85	260	218	140	114	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	0	0	0	1	0	0	6	2	1	0	0	0	0	0	3	1	1	1	0	1	4	1	
280	13	5	10	32	12	30	34	13	38	10	2	15	5	7	56	37	10	6	22	38	5	15	
150	8	3	8	20	9	30	21	10	18	17	4	18	4	3	24	15	11	7	14	19	13	8	
1386	93	31	57	203	77	257	140	78	258	119	103	118	64	70	192	213	74	70	220	159	116	88	
12	1	0	1	3	1	3	1	2	1	0	1	0	0	0	4	0	0	1	1	0	2	1	
11	0	0	0	1	0	0	3	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	
9	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	2	1	0	1	
4	0	0	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
