"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №3627"	"УИК №3629"	"УИК №3630"	"УИК №3631"	
3020	2684	2045	2752	1329	1667	2698	2243	1685	2733	2166	2345	1773	2579	1790	1944	2060	2197	2334	2371	2057	3156	2649	2148	1962	1700	1028	154	148	140	
2200	2000	1500	2000	1400	1300	1900	1700	1300	2000	1500	1700	1450	2000	1300	1500	1500	1700	1700	1800	1500	2400	1900	1700	1300	1200	1050	160	170	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1409	1660	1097	1539	1060	899	1383	1166	851	1386	1215	1505	1290	1313	939	1147	1175	1162	1328	1279	1180	1697	1490	1200	1030	976	527	78	122	137	
28	38	43	46	4	28	48	61	37	58	67	35	7	73	69	53	33	54	48	66	42	53	40	64	61	42	454	0	0	0	
763	302	360	415	336	373	469	473	412	556	218	160	153	614	292	300	292	484	324	455	278	650	370	436	209	182	69	82	48	13	
28	38	43	46	4	28	48	61	37	58	67	35	7	73	69	53	23	54	48	66	42	53	40	64	61	41	454	0	0	0	
1406	1660	1092	1538	1058	896	1383	1164	851	1383	1215	1502	1289	1313	936	1145	1170	1158	1326	1277	1175	1691	1484	1197	1029	973	527	78	122	137	
18	23	16	27	13	16	13	10	11	17	23	28	10	20	31	12	17	20	22	11	24	29	25	20	19	24	7	0	2	5	
1416	1675	1119	1557	1049	908	1418	1215	877	1424	1259	1509	1286	1366	974	1186	1176	1192	1352	1332	1193	1715	1499	1241	1071	990	974	78	120	132	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	25	22	21	5	13	15	8	5	15	19	19	10	17	16	15	15	10	15	17	11	22	10	10	11	13	8	0	1	1	
195	226	187	202	116	116	170	146	115	230	180	204	171	204	110	183	162	174	185	158	171	240	208	154	130	122	76	11	17	11	
24	53	28	42	59	24	57	39	34	41	55	43	63	39	24	33	51	48	67	52	40	77	67	48	42	42	32	2	4	17	
907	1116	681	1008	813	569	945	766	573	863	820	1043	962	855	661	738	747	749	862	866	786	1102	943	826	733	634	791	59	76	92	
127	123	106	131	27	92	106	106	68	134	89	79	46	111	73	111	79	100	81	124	85	141	122	94	65	92	26	2	13	9	
5	10	10	11	5	8	14	5	8	10	10	12	5	18	7	8	7	9	11	10	11	10	14	10	11	12	2	0	0	0	
57	33	28	39	10	34	31	39	24	50	20	37	16	28	25	17	26	36	46	30	22	50	33	37	26	26	10	0	5	0	
89	89	57	103	14	52	80	106	50	81	66	72	13	94	58	81	89	66	85	75	67	73	102	62	53	49	29	4	4	2	
