"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	"УИК №2306"	"УИК №2307"	"УИК №2308"	"УИК №2309"	"УИК №2310"	"УИК №2311"	"УИК №2312"	"УИК №2313"	"УИК №2314"	"УИК №2315"	"УИК №2316"	"УИК №2317"	"УИК №2318"	"УИК №2319"	"УИК №2320"	"УИК №2321"	"УИК №2322"	"УИК №2323"	"УИК №2324"	"УИК №2325"	"УИК №2326"	"УИК №2327"	"УИК №2328"	"УИК №2329"	"УИК №2330"	
597	269	516	1346	1054	217	183	275	178	137	387	254	68	216	97	344	212	128	390	546	348	1384	176	805	382	1048	249	347	551	655	
500	250	500	1300	1000	200	180	300	180	150	400	250	80	200	100	405	250	160	430	555	330	1430	150	730	400	1100	255	350	550	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	46	14	1	16	87	0	194	25	0	1	0	35	0	
326	134	231	660	511	117	98	123	110	85	199	150	56	136	36	180	126	29	203	241	172	618	127	303	193	676	182	237	306	559	
23	17	13	110	151	34	12	9	7	13	43	14	0	26	9	37	16	1	42	51	54	94	9	20	27	12	6	9	18	0	
151	99	256	530	338	49	70	168	63	52	158	86	24	38	55	185	108	84	171	262	88	631	14	213	155	412	66	104	191	41	
23	17	13	110	151	34	12	9	7	13	43	14	0	26	9	40	16	47	56	52	70	181	9	214	52	12	7	9	53	0	
326	134	231	660	510	117	98	123	110	85	199	150	56	136	36	180	126	29	203	241	172	618	127	303	193	676	182	237	306	559	
2	0	3	11	8	1	4	1	2	0	1	3	0	1	0	2	3	1	6	7	4	9	2	4	0	9	1	0	7	9	
347	151	241	759	653	150	106	131	115	98	241	161	56	161	45	218	139	75	253	286	238	790	134	513	245	679	188	246	352	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	5	4	1	0	0	1	0	2	1	0	0	0	1	0	0	0	4	0	4	0	2	2	3	0	0	2	4	
77	28	42	142	130	20	5	14	14	1	29	12	5	9	3	26	8	6	33	43	36	125	7	107	22	78	26	21	45	135	
42	5	24	97	84	21	16	14	12	8	22	26	8	16	2	31	16	20	33	33	45	102	14	79	39	79	33	23	65	116	
220	116	171	494	415	106	84	101	88	84	172	118	40	130	40	159	111	48	173	200	147	538	113	318	178	505	121	196	235	283	
2	0	2	11	3	0	0	0	0	3	3	0	0	2	0	0	1	1	4	3	5	5	0	3	3	4	3	3	3	3	
0	0	1	6	9	1	0	1	0	1	10	0	3	1	0	1	3	0	3	2	2	4	0	0	1	5	3	0	0	0	
3	0	1	2	4	1	1	1	0	1	1	4	0	1	0	0	0	0	3	1	1	10	0	2	0	4	2	3	2	9	
3	2	0	2	4	0	0	0	0	0	2	0	0	2	0	0	0	0	4	0	2	2	0	2	0	1	0	0	0	0	
