"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	
2575	1677	810	1538	512	552	213	599	597	287	905	295	471	146	298	264	162	897	925	892	266	534	543	428	
2600	1700	820	1530	510	550	210	590	610	280	920	300	470	160	300	260	160	910	930	900	260	540	540	420	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1950	1497	705	1379	384	403	177	415	450	217	709	228	396	74	236	177	130	763	728	711	193	405	404	367	
375	53	33	97	101	100	33	147	112	63	115	62	64	61	55	80	30	133	119	119	59	125	111	53	
275	150	82	54	25	47	0	28	48	0	96	10	10	25	9	3	0	14	83	70	8	10	25	0	
375	53	33	97	101	100	33	147	112	63	115	62	64	61	55	80	30	133	119	119	59	125	111	53	
1950	1497	705	1379	384	403	177	415	450	217	709	228	396	74	236	177	130	763	728	711	193	405	404	367	
9	2	0	14	0	0	0	0	0	9	11	4	0	0	0	0	0	0	0	0	0	0	3	0	
2316	1548	738	1462	485	503	210	562	562	271	813	286	460	135	291	257	160	896	847	830	252	530	512	420	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	0	1	0	0	0	0	0	1	7	0	1	0	0	0	0	0	0	0	1	1	1	0	
80	25	57	105	42	42	10	20	17	9	160	11	19	15	11	5	1	89	78	82	12	10	32	14	
28	5	4	24	2	0	1	7	11	3	22	5	3	2	5	4	1	0	5	0	6	6	7	5	
2203	1516	673	1322	441	461	199	535	532	254	619	268	436	117	273	248	157	807	764	748	231	508	471	400	
1	1	1	2	0	0	0	0	1	2	2	0	1	1	0	0	0	0	0	0	0	4	1	1	
0	0	1	3	0	0	0	0	1	2	2	2	0	0	1	0	1	0	0	0	2	1	0	0	
1	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
