"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №3710"	"УИК №3711"	"УИК №3712"	
2018	2364	2315	2205	2440	2625	2548	2453	2379	2021	2555	2713	1766	1719	2473	1756	1528	1450	2188	1581	1965	2442	1763	2465	2248	1424	778	1773	92	328	740	
1800	2200	2000	2000	2100	2200	2200	2200	2200	1700	2200	2200	1600	1500	2200	1500	1300	1300	2100	1400	1800	2100	1600	2300	2000	1200	600	1500	92	360	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1052	1259	1238	1228	1290	1449	1420	1332	1238	1126	1488	1484	989	982	1315	1058	894	839	1236	842	1103	1442	876	1679	1522	887	528	958	92	308	130	
63	96	69	67	55	44	39	61	76	71	79	66	34	46	47	20	54	47	52	68	59	59	31	69	74	18	5	42	0	0	560	
685	845	693	705	755	707	741	807	886	503	633	650	577	472	838	422	352	414	812	490	638	599	693	552	404	295	67	500	0	52	160	
63	96	69	67	55	44	39	61	76	71	79	66	34	46	47	20	54	47	52	68	59	59	31	69	74	18	5	42	0	0	560	
1051	1259	1237	1228	1288	1445	1416	1332	1238	1125	1488	1476	989	978	1311	1056	893	838	1236	840	1101	1442	874	1679	1522	887	528	958	92	308	130	
21	18	12	20	23	18	32	23	20	108	25	16	11	12	19	12	8	13	21	8	16	10	22	15	16	15	7	17	0	6	9	
1093	1337	1294	1275	1320	1471	1423	1370	1294	1088	1542	1526	1012	1012	1339	1064	939	872	1267	900	1144	1491	883	1733	1580	890	526	983	92	302	681	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	11	8	17	25	16	15	14	12	11	28	12	9	13	12	9	10	3	17	6	10	17	4	27	4	13	2	12	1	0	5	
121	154	146	157	185	197	191	147	149	124	167	207	130	130	160	163	110	113	150	126	143	195	103	183	142	109	72	133	9	21	76	
74	72	75	61	80	74	76	59	78	45	79	57	45	40	71	50	41	38	66	35	62	75	46	71	54	43	19	39	6	25	40	
817	987	955	924	921	1082	1006	1049	945	810	1142	1109	734	738	957	768	702	653	930	662	837	1054	668	1293	1260	629	386	720	67	230	526	
28	38	42	46	44	36	60	38	40	45	54	72	45	43	47	25	26	32	35	32	51	58	30	57	43	44	22	40	6	12	12	
10	14	4	8	9	12	10	11	9	9	13	9	10	2	12	7	9	3	10	10	5	13	5	11	13	5	2	8	0	4	7	
10	11	23	21	17	15	23	20	24	16	18	23	16	21	16	13	10	9	24	9	14	32	9	31	21	22	11	11	1	0	4	
21	50	41	41	39	39	42	32	37	28	41	37	23	25	64	29	31	21	35	20	22	47	18	60	43	25	12	20	2	10	11	
