"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	
1765	1844	1933	184	342	346	958	303	773	241	298	947	316	289	312	167	282	505	223	411	198	307	266	410	181	
1600	1700	1800	200	350	350	950	300	750	250	290	900	300	300	300	180	300	550	220	350	200	300	250	400	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1056	1166	1103	77	143	243	552	167	448	141	194	571	166	143	185	95	206	316	150	263	124	179	151	230	123	
48	69	66	50	33	40	122	40	68	11	24	60	40	32	41	30	30	64	8	27	16	28	23	78	22	
496	465	631	73	174	67	276	93	234	98	72	269	94	125	74	55	64	170	62	60	60	93	76	92	55	
48	69	66	50	33	40	122	40	68	11	24	60	40	32	41	30	30	64	8	27	16	28	23	78	22	
1056	1166	1103	77	143	243	552	167	448	141	194	571	166	143	185	95	206	316	150	263	124	179	151	230	123	
12	14	12	0	0	8	6	3	11	1	1	4	1	0	1	0	1	3	0	4	2	2	1	0	0	
1092	1221	1157	127	176	275	668	204	505	151	217	627	205	175	225	125	235	377	158	286	138	205	173	308	145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	9	0	0	1	4	2	2	2	0	4	0	0	0	0	1	1	0	1	0	1	0	0	1	
268	235	254	10	28	45	85	26	76	14	26	125	30	22	13	5	18	35	16	22	22	32	13	43	29	
67	72	65	5	12	19	29	15	42	5	14	32	22	14	19	2	8	6	5	15	3	18	8	11	4	
718	884	806	111	133	202	541	158	378	127	174	454	151	138	190	117	200	330	135	242	110	151	150	251	111	
8	11	12	0	2	3	3	1	1	0	3	2	1	0	1	0	4	1	0	3	0	2	1	1	0	
12	8	5	1	0	5	5	1	3	1	0	5	0	0	1	1	0	2	1	3	3	0	1	0	0	
10	3	3	0	0	0	0	0	2	0	0	3	0	1	0	0	2	1	0	0	0	0	0	1	0	
4	4	3	0	1	0	1	1	1	2	0	2	1	0	1	0	2	1	1	0	0	1	0	1	0	
