"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	
701	394	189	581	525	385	374	953	1082	939	838	276	332	483	340	559	597	
730	390	180	600	530	390	380	970	1070	950	850	280	340	470	350	570	650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
376	144	115	387	314	262	201	602	644	543	500	180	141	272	204	340	395	
87	104	9	36	80	25	73	31	52	20	35	30	78	22	36	90	40	
267	142	56	177	136	103	106	337	374	387	315	70	121	176	110	140	215	
87	104	9	36	80	25	73	31	52	20	35	30	78	22	36	90	40	
376	144	115	387	314	262	201	602	644	543	500	180	141	272	204	340	395	
6	1	0	2	4	1	2	10	9	16	5	5	2	1	0	4	4	
457	247	124	421	390	286	272	623	687	547	530	205	217	293	240	426	431	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	3	1	2	3	1	1	2	6	2	1	0	1	3	3	3	0	
56	40	15	28	41	61	44	127	126	79	101	24	16	37	10	25	44	
35	23	11	30	41	18	25	59	46	48	43	15	18	11	16	26	21	
361	180	96	349	294	203	195	424	491	410	380	161	178	238	208	362	361	
0	0	0	5	5	2	4	7	7	4	3	1	1	1	2	8	1	
3	1	1	5	1	1	2	2	5	1	0	2	1	3	1	1	3	
2	0	0	0	2	0	0	2	5	1	2	0	2	0	0	0	1	
0	0	0	2	3	0	1	0	1	2	0	2	0	0	0	1	0	
